非洲	Afrique
炸魚薯條	Fish and chips
Game Boy Color	Game Boy Color
屙屎	Défécation
戰國時代 (日本)	Époque Sengoku
字幕	Sous-titrage
自然對數	Logarithme naturel
瞬間轉移	Téléportation
太空舞	Moonwalk
基士文	Mateja Kežman
拉夫達	Patrick Rafter
曹操	Cao Cao
華達拉馬	Carlos Valderrama
芒果 (搞清楚)	Mango
鼆	Obscurité
雙節棍	Nunchaku
墨西哥薄餅	Tortilla
刨	Rabot
法蘭絲麥杜雯	Frances McDormand
Doug Savant	Doug Savant
火山湖	Lac de cratère
氣功	Qi gong
基維爾	Harry Kewell
蓋爾式足球	Football gaélique
禧福	Hereford (Angleterre)
長凳	Banc (siège)
連江縣	Xian de Lianjiang
新華通訊社	Xinhua
法明尼	Mathieu Flamini
雞 (發聲器)	Sifflet
斬頭	Décapitation
量角器	Rapporteur
聖傑氏島	Saint-Christophe (île)
比奧科島	Bioko
世界音樂	Musiques du monde
第40屆日本眾議院議員總選舉	Élections législatives japonaises de 1993
無限集合	Ensemble infini
國民陣線 (法國)	Front national (parti français)
吉巴氏綜合症	Syndrome de Guillain-Barré
魚勾	Hameçon
亞馬遜河豚	Boto
發明家	Inventeur
前21世紀	XXIe siècle av. J.-C.
油站	Station-service
車牌	Permis de conduire
戊醣	Pentose
江戶幕府	Shogunat Tokugawa
撥桑分佈	Loi de Poisson
GB	GB
Be	BE
小步舞曲	Menuet
鼻鼾	Ronflement
日子	Date
大話骰	Poker menteur
麗江	Lijiang
齊齊哈爾	Qiqihar
黎曼猜想	Hypothèse de Riemann
飛翔	Vol (aéronautique)
190年代	Années 190
前190年代	Années 190 av. J.-C.
𤶸	Cicatrice
前26世紀	XXVIe siècle av. J.-C.
世界人權日	Journée internationale des droits de l'homme
汶萊元	Dollar de Brunei
魚泡	Vessie natatoire
高良薑	Zédoaire
民用航空	Aviation civile
紅河	Fleuve Rouge
俄文維基百科	Wikipédia en russe
肌肉萎縮性脊髓側索硬化症	Sclérose latérale amyotrophique
轉速錶	Compte-tours
雪碧	Sprite (soda)
車頓咸	Cheltenham
資陽	Ziyang
資源縣	Xian de Ziyuan
春武里府	Province de Chonburi
香草	Herbe
課程	Programme d'enseignement
波旁復辟	Restauration (histoire de France)
美式鬆餅	Muffin
應用藝術	Arts appliqués
巴斯克文維基百科	Wikipédia en basque
PL教團	PL Kyodan
Magic: The Gathering	Magic : l'assemblée
三級會議	États généraux (France)
茅招	Tricherie
史路比	Snoopy
雲高爾	Louis van Gaal
內含子	Intron
慳電膽	Lampe fluorescente
巧茶	Khat (botanique)
武夷山	Monts Wuyi
譯音字	Transcription (linguistique)
嘧啶	Pyrimidine
500	Nombres 500 à 599
烏蘇里江	Oussouri
經濟泡沫	Bulle (économie)
Square Enix	Square Enix
他媽哥池	Tamagotchi
伯爵茶	Earl Grey
Thomas Tallis	Thomas Tallis
西門子	Siemens (homonymie)
尼維斯島	Niévès
欲骨查	Bones
包裝	Emballage
時代年度風雲人物	Personnalité de l'année selon Time Magazine
論壇	Forum
牛角包	Croissant (viennoiserie)
美洲鱷	Crocodile américain
巴西龜	Tortue de Floride
一氧化氮	Monoxyde d'azote
王絨鴨	Eider à tête grise
亞歷山大四世 (馬其頓)	Alexandre IV de Macédoine
貞操	Chasteté
中國中央電視台	Télévision centrale de Chine
亞馬遜州	Amazonas
風月俏佳人	Pretty Woman
孟山都	Monsanto
平水尺	Niveau à bulle
杜蘭朵	Turandot
唂咕豆	Fève de cacao
進軍歌	Tiến Quân Ca
奧查	André Ooijer
金黃	Or (couleur)
沙比阿朗素	Xabi Alonso
意大利飯	Risotto
S區元素	Éléments du bloc s
賽義夫卡達菲	Saïf al-Islam Kadhafi
傀儡政府	Gouvernement fantoche
社會主義勞動英雄	Héros du travail socialiste
Barbarossa	Barberousse
百吉包	Baguette (pain)
詩歌智慧書	Ketouvim
快感	Plaisir
金性洙	Kim Seong-soo
天皇 (日本)	Empereur du Japon
聖誕花	Euphorbia pulcherrima
暹羅鱷	Crocodile du Siam
火燭車	Fourgon d'incendie
前28世紀	XXVIIIe siècle av. J.-C.
肉酸	Dégoût
鑊	Wok
麥酒	Ale
折射定律	Lois de Snell-Descartes
威式拼音	Romanisation Wade-Giles
喉嘴	Vanne
一九八四	1984 (roman)
開封	Kaifeng
前27世紀	XXVIIe siècle av. J.-C.
新台幣	Nouveau dollar de Taïwan
阿爾巴尼亞文維基百科	Wikipédia en albanais
盜版黨	Parti pirate (Suède)
開特	Katal
羅德里格斯島	Rodrigues
作客入波優惠	Règle des buts marqués à l'extérieur
鳥結糖	Nougat
府中市 (東京都)	Fuchū
八王子市	Hachiōji
貝爾法斯特協議	Accord du Vendredi saint
般尼	Burnley
沙嗲串	Sate
豎琴海豹	Phoque du Groenland
十二小時制	Système horaire sur 12 heures
Alexandre Dumas	Alexandre Dumas (homonymie)
古氏樹袋鼠	Dendrolagus goodfellowi
復活節禮拜一	Lundi de Pâques
凱旋門 (平壤)	Arc de triomphe de Kim Il-sung
撒母耳記下	Deuxième livre de Samuel
歷代志下	Deuxième livre des Chroniques
列王紀下	Deuxième livre des Rois
異形	Alien (créature)
舵	Gouvernail
第二裝甲師 (法國)	2e division blindée (France)
松花江	Songhua
袁世凱	Yuan Shikai
媒體播放器	Lecteur multimédia
打井	Tic-tac-toe
世界童軍組織	Organisation mondiale du mouvement scout
PT	PT
蝙蝠科	Vespertilionidae
北海 (廣西)	Beihai (Guangxi)
袋鼠島	Île Kangourou
Arsenal	Arsenal (homonymie)
李素妍	Yi So-yeon
阮福映	Gia Long
煙臺	Yantai
路易吉	Luigi
引渡	Extradition
中元古代	Mésoprotérozoïque
艾斯高巴	Andrés Escobar Saldarriaga
町田市	Machida
普林西比島	Principe (île)
棕鬣狗	Hyène brune
武藏野市	Musashino
調布市	Chōfu
厄利孔20毫米機炮	Canon de 20 mm Oerlikon
中國神話	Mythologie chinoise
飛鳥時代	Période Asuka
皮雅絲	Mary Pierce
普通長耳蝠	Plecotus auritus
巴黎二十區	20e arrondissement de Paris
胃宿	Wei (astronomie chinoise - Ari)
朴主永	Park Chu-young
閹人歌手	Castrat
東方站	Base antarctique Vostok
車剌潘治	Cherrapunji
亞歷山度·迪亞文迪	Alessandro Diamanti
Gene targeting	Gene targeting
劉翔	Liu Xiang (athlétisme)
語態	Diathèse
韓亞航空	Asiana
銀川	Yinchuan
基本代數	Algèbre classique
比得包	Pain pita
高速鐵路	Grande vitesse ferroviaire
李國豪	Brandon Lee
歸納法	Induction
萬山 (廣東)	Archipel de Wanshan
前30世紀	XXXe siècle av. J.-C.
日本護照史	Passeport japonais
200年代	Années 200
G3自動步槍	HK G3
Simpson Desert	Désert de Simpson
打比 (搞清楚)	Derby
亞蘭島	Île d'Arran
十二平均律鋼琴曲集	Le Clavier bien tempéré
鑑別	Facteur d'authentification
美聲學派	Bel canto
西班牙大鑊飯	Paella
日本放送協會	NHK
十二進制	Système duodécimal
美國國際集團	American International Group
安東諾夫設計局	Antonov (aéronautique)
卵生動物	Oviparité
麻油	Huile de sésame
葛蘭素史克	GlaxoSmithKline
控球後衛	Meneur
北部灣	Golfe du Tonkin
昭島市	Akishima
美杜莎之筏	Le Radeau de La Méduse
中央區 (東京都)	Chūō-ku (Tokyo)
文京區	Bunkyō
鬧鐘	Réveille-matin
茶 (草木)	Camellia
西布朗	West Bromwich
回力球	Pelote basque
Stephen Colbert	Stephen Colbert
前20年代	Années 20 av. J.-C.
亞蘭群島	Îles d'Aran
雷曼兄弟	Lehman Brothers
松仁	Pignon de pin
毛厘士勞啤	Roupie mauricienne
游水衫	Maillot de bain
森林反恐隊	Les Rebelles de la forêt (film)
666	666 (nombre)
扒	Steak
Biangbiang麵	Nouilles Biang Biang
熊狸	Binturong
Percy Jackson & the Olympians	Percy Jackson
達寧頓	Darlington (Angleterre)
三藩市灣區	Région de la baie de San Francisco
多摩市	Tama (Tokyo)
小平市	Kodaira
大使館	Mission diplomatique
黑美洲鷲	Urubu noir
艾朗藍斯	Aaron Ramsey
食嘢	Alimentation
足立區	Adachi
玻璃市	Perlis
啤啤熊	Ours en peluche
前210年代	Années 210 av. J.-C.
210年代	Années 210
丙酮酸	Acide pyruvique
睡眠窒息症	Syndrome d'apnées du sommeil
Google街景服務	Google Street View
Beatboxing	Human beatbox
柴魚	Stockfisch
莎樂嘅網 (2006年電影)	Le Petit Monde de Charlotte (film, 2006)
合趾猿	Siamang
森美蘭	Negeri Sembilan
蟯蟲	Enterobius
七月革命	Trois Glorieuses
千代田區	Chiyoda
江戶川區	Edogawa
馬房	Écurie
金奎植	Kim Kyu-Sik
煙灰缸	Cendrier
巴米揚	Bâmiyân
施文	David Seaman
納閔	Territoire fédéral de Labuan
象鳥	Aepyornithiformes
曉士	Mark Hughes
軌距	Écartement des rails
蓋茲堡演講	Discours de Gettysburg
德州話事啤	Texas hold'em
安迪威廉斯	Andy Williams (chanteur)
M4卡賓槍	Colt M4
220年代	Années 220
前220年代	Années 220 av. J.-C.
2010年智利礦坑意外	Accident minier de Copiapó
米芝蓮指南	Guide Michelin
褐山蝠	Nyctalus noctula
規範場論	Théorie de jauge
中銀大廈	Tour de la Bank of China
密鋪平面	Pavage
遠藤保仁	Yasuhito Endō
青礬	Sulfate ferreux
阪神地震	Séisme de 1995 à Kobe
大棕蝠	Eptesicus serotinus
地震一覽	Listes de séismes
電話冧巴	Numéro de téléphone
大和號	Yamato (cuirassé)
潑水節	Songkran
正交	Orthogonalité
薄血藥	Anticoagulant
江東區 (東京都)	Kōtō
插蘇	Prise électrique
富豪汽車	Volvo (automobile)
丹尼臣	Denílson Pereira Neves
瑪麗亞·卡錢斯卡	Maria Kaczyńska
芝士蛋糕	Cheesecake
斯蒂芬蓋特利	Stephen Gately
切爾諾貝爾核電廠	Centrale nucléaire de Tchernobyl
蟲	Bug
Kevin Federline	Kevin Federline
阿拉丁	Aladdin (film, 1992)
生意人	Marchand (commerce)
聲帶	Corde vocale
龍	Dragon oriental
火水燈	Lampe à pétrole
南沙群島	Îles Spratleys
熱島效應	Îlot de chaleur urbain
金九	Kim Koo
湘潭	Xiangtan
同盟國	Alliance
230年代	Années 230
泰山 (中國嘅山)	Mont Tai
芹苴	Cần Thơ
九江市	Jiujiang
澳洲工黨	Parti travailliste australien
百貨公司	Grand magasin
椰油	Huile de coco
希路	Hilo
乓	Pong
茶羹	Cuillère à café
北極狼	Loup arctique
垃圾桶	Poubelle
司機	Chauffeur de maître
保羅安卡	Paul Anka
廿四小時制	Système horaire sur 24 heures
小高加索山脈	Petit Caucase
文立彬	Ed Miliband
鄉村芝士	Ricotta
占婆	Royaume de Champā
倒數 (數)	Inverse
奧利里奧	Fábio Aurélio
Deryck Whibley	Deryck Whibley
史譚	Jaap Stam
身前身後	Six Feet Under (série télévisée)
中華台北	Taipei chinois
Glenn Gould	Glenn Gould
高爾	Andy Cole
老友記闖天涯	Oliver et Compagnie
西江	Xi (fleuve)
240年代	Années 240
前240年代	Années 240 av. J.-C.
德仁	Naruhito
詠春	Wing chun
歐豬五國	PIGS
羅德西亞	Rhodésie (pays)
鐵血將軍巴頓	Patton (film)
大田區	Ōta
沙漠之鷹手槍	Desert Eagle
森林反恐隊2	Les Rebelles de la forêt 2
A1	A1
波板糖	Sucette
PM	PM
達斡爾族	Daur
TB	TB
佐卡夫	Youri Djorkaeff
車打芝士	Cheddar (fromage)
豬籠草	Nepenthes
小丑 (蝙蝠俠漫畫)	Joker (comics)
太陽眼鏡	Lunettes de soleil
牡丹江市	Mudanjiang
泰安	Tai'an
濰坊	Weifang
烈性黑啤酒	Stout
250年代	Années 250
A3	A3
大衛·高帕菲	David Copperfield (homonymie)
興登堡號	LZ 129 Hindenburg
威爾遜	Wilson
菲臘尼維利	Philip Neville
雞蛋花	Plumeria
AA	AA
俄羅斯總統	Président de la Fédération de Russie
契丹	Khitans
簡路迪	Frédéric Kanouté
吋	Pouce (unité)
丙氨酸	Alanine
五行	Wuxing (cosmologie)
PD	PD
笠包	Rabaul
蘇炳文	Su Bingwen
安娜塔西亞 (搞清楚)	Anastasia
千年蟲	Passage informatique à l'an 2000
卡斯柏王子	Le Prince Caspian
橙汁	Jus d'orange
戰略	Stratégie militaire
Pb	PB
極危	Espèce en danger de disparition
蟲害	Organisme nuisible
BC	BC
Heart	Heart (homonymie)
Cam	Cam (homonymie)
鬱金香狂熱	Tulipomanie
TI	TI
Go	GO
乳糖消化不良	Intolérance au lactose
M2	M2
M4	M4
七七事變	Incident du pont Marco Polo
自由民主黨	Parti libéral-démocrate
Fa	FA
And	AND
Balboa	Balboa
SE	Se
食譜	Recette de cuisine
AK	AK
奧華馬斯	Marc Overmars
科伊科伊人	Khoïkhoï
Ανδρέας Παπανδρέου	Andréas Papandréou
PK	PK
艾傑臣	Elkeson de Oliveira Cardoso
Brown	Brown
前260年代	Années 260 av. J.-C.
海龜	Tortue marine
260年代	Années 260
A2	A2
保時捷 911	Porsche 911
非盧祖·保蘇尼	Ferruccio Busoni
孤星血淚	Les Grandes Espérances
華盛頓大學	Université de Washington
細紋斑馬	Zèbre de Grévy
檜原村	Hinohara
安汶島	Ambon (île)
Bessel 函數	Fonction de Bessel
嘉莉慕萊根	Carey Mulligan
傑士德加	Chris Tucker
270年代	Années 270
前270年代	Années 270 av. J.-C.
Dusty Springfield	Dusty Springfield
帶道	Zone
樅陽	Xian de Zongyang
高橋留美子	Rumiko Takahashi
斯堪尼亞	Scania
寵物店	Animalerie
蜜月	Lune de miel (expression)
香港動植物公園	Jardins botanique et zoologique de Hong Kong
黃喉貂	Martes flavigula
集港啤	Bière allemande
電話簿	Annuaire téléphonique
古晉	Kuching
眼鏡蛇	Naja
紐約徵兵暴動	Draft Riots
366	366 (nombre)
行車方向	Sens de circulation (route)
遺物	Artéfact (archéologie)
Marilyn Chambers	Marilyn Chambers
280年代	Années 280
鴉片戰爭	Guerre de l'opium
Gnumeric	Gnumeric
布氏鯨	Rorqual de Bryde
瑪麗亞二世	Marie II (reine de Portugal)
鉻嘅同位素	Isotopes du chrome
晏冠沙絲蔑	Anggun
八月政變	Putsch de Moscou
史斯富	Enzo Scifo
疊字	Redoublement (linguistique)
扎維耶	Zaouïa (Libye)
290年代	Années 290
試管實驗	In vitro
天花板	Plafond (architecture)
斯泰爾AUG突擊步槍	Steyr AUG
清水寺	Kiyomizu-dera
一孩政策	Politique de l'enfant unique
單車徑	Aménagement cyclable
羅先	Rasŏn
漢文 (網球手)	Tim Henman
ISO/IEC 8859	ISO 8859
歐洲貨幣單位	European Currency Unit
小泰山2	Le Livre de la jungle 2
錢罌	Cochon tirelire
崔世安	Fernando Chui
Manzanillo	Manzanillo
關羽	Guan Yu
阿基諾	Benigno Aquino, Jr.
龜	Tortue
鼠耳蝠屬	Myotis
物體	Corps (entité)
太空衫	Combinaison spatiale
櫃桶	Tiroir
126	126 (nombre)
戰象	Éléphant de guerre
山地車	Vélo tout terrain
阮福晪	Bảo Đại
俄塔社	ITAR-TASS
鐵人	Iron Man
指甲油	Vernis à ongles
300年代	Années 300
前300年代	Années 300 av. J.-C.
Stanley	Stanley
黑 (搞清楚)	Black
Cent	Cent
Cs	CS
Yes	Yes (homonymie)
NT	NT
James	James
CY	CY
貝爾	Bell
Tau	Tau (homonymie)
Horn	Horn
Gap	GAP
AAA	AAA
Diamond	Diamond
狐狸 (搞清楚)	Fox
梵高博物館	Musée Van Gogh
HK	HK
方	Square
和諧	Harmony
Aps	APS
Tiger	Tiger
前30年代	Années 30 av. J.-C.
前31世紀	XXXIe siècle av. J.-C.
Us	US
積克	Jack
聖三一學院 (搞清楚)	Trinity College
Ne	Ne
Ir	IR
SM	SM
CC	CC
前310年代	Années 310 av. J.-C.
310年代	Années 310
李正姬	Lee Jung-hee
福特	Ford (homonymie)
Car	Car
TW	TW
快思邏輯	Logique floue
江東 (搞清楚)	Jiangdong (homonymie)
明治 (搞清楚)	Meiji
火狐	Firefox (homonymie)
前32世紀	XXXIIe siècle av. J.-C.
320年代	Années 320
前320年代	Années 320 av. J.-C.
海岸星光號	Coast Starlight
賓治	Punch
Fahrenheit	Fahrenheit (homonymie)
前33世紀	XXXIIIe siècle av. J.-C.
330年代	Années 330
前330年代	Années 330 av. J.-C.
信差	Messenger
Sex	Sex
Mouse	Mouse
141	141 (nombre)
龍出生天	Daylight (film, 1996)
B2	B2
元 (搞清楚)	Yuan (homonymie)
May	May
空集	Ensemble vide
前34世紀	XXXIVe siècle av. J.-C.
340年代	Années 340
前340年代	Années 340 av. J.-C.
OP	OP
前35世紀	XXXVe siècle av. J.-C.
前350年代	Années 350 av. J.-C.
前351年	351 av. J.-C.
前352年	352 av. J.-C.
前353年	353 av. J.-C.
Master	Master
默片	Cinéma muet
Mirage	Mirage (homonymie)
Gun	GUN
M6	M6 (homonymie)
Temple	Temple (homonymie)
深喉	Gorge profonde
火箭 (搞清楚)	Lanceur
Dam	Dam
LSD	LSD (homonymie)
Ant	ANT
O2	O2 (homonymie)
NDS	NDS
Linares	Linares
RP	RP
世界貿易中心 (搞清楚)	World Trade Center (homonymie)
Du	Du
能劇	Nô
前36世紀	XXXVIe siècle av. J.-C.
Smithfield	Smithfield
鄒凱	Zou Kai
Van	Van
前360年代	Années 360 av. J.-C.
皮帶	Belt
Fly	Fly
March	March
蘋果 (搞清楚)	Apple (homonymie)
祖沖之	Zu Chongzhi
前368年	368 av. J.-C.
蘇丹 (搞清楚)	Sudan
前369年	369 av. J.-C.
前37世紀	XXXVIIe siècle av. J.-C.
大啡菇	Agaricus bisporus
前370年代	Années 370 av. J.-C.
前371年	371 av. J.-C.
佛洛伊德 (搞清楚)	Freud (homonymie)
前372年	372 av. J.-C.
羅馬 (搞清楚)	Roma
前373年	373 av. J.-C.
前374年	374 av. J.-C.
前375年	375 av. J.-C.
前377年	377 av. J.-C.
We	WE
前378年	378 av. J.-C.
芋	Colocasia esculenta
烏鵰	Aigle criard
前379年	379 av. J.-C.
手指屘	Auriculaire (anatomie)
鎖	Serrure
廿一點	Blackjack (jeu)
前38世紀	XXXVIIIe siècle av. J.-C.
Watt	Watt (homonymie)
奧克蘭	Oakland
前380年代	Années 380 av. J.-C.
前381年	381 av. J.-C.
牛蠅	Tabanidae
前383年	383 av. J.-C.
交配	Accouplement (biologie)
前386年	386 av. J.-C.
前388年	388 av. J.-C.
孤星淚 (搞清楚)	Les Misérables (homonymie)
前39世紀	XXXIXe siècle av. J.-C.
哥連麥卡羅	Colleen McCullough
前390年代	Années 390 av. J.-C.
吳承恩	Wu Cheng'en
前391年	391 av. J.-C.
前392年	392 av. J.-C.
前393年	393 av. J.-C.
前394年	394 av. J.-C.
欂櫨蓋	Rotule
前395年	395 av. J.-C.
前397年	397 av. J.-C.
蔡倫	Cai Lun
前398年	398 av. J.-C.
七姊妹	Seven Sisters
卡拉OK	Karaoké
豉油	Sauce de soja
3D電影	Cinéma en relief
烏鴉 (搞清楚)	Corvus (homonymie)
馬些路 (搞清楚)	Marcellus
Swift	Swift
作死不離3兄弟	3 Idiots
3dfx	3dfx
海綿 (搞清楚)	Éponge
急口令	Virelangue
左傳	Zuo Zhuan
Michael Johnson	Michael Johnson (homonymie)
塘尾	Zygoptera
傳回耶路撒冷運動	Back to Jerusalem
黃金海岸	Gold Coast (homonymie)
福島	Fukushima
列卡度	Ricardo
迷你裙	Minijupe
啤梨 (搞清楚)	Berry (homonymie)
國籍	Nationalité
Palm	Palm
威末	Vermouth
無生源論	Origine de la vie
新山	Johor Bahru
前40世紀	XLe siècle av. J.-C.
棕櫚油	Huile de palme
400年代	Années 400
烏龍茶	Thé Oolong
前401年	401 av. J.-C.
北極兔	Lièvre arctique
世田谷區	Setagaya
前402年	402 av. J.-C.
銀主盤	Saisie immobilière
前403年	403 av. J.-C.
瑪歌芳婷	Margot Fonteyn
MT	MT
前407年	407 av. J.-C.
前408年	408 av. J.-C.
冷衫	Pull-over
前409年	409 av. J.-C.
丁方英里	Mille carré
前40年代	Années 40 av. J.-C.
B3	B3
2007年6月	Juin 2007
前410年	410 av. J.-C.
410年代	Années 410
前411年	411 av. J.-C.
菊地凜子	Rinko Kikuchi
前412年	412 av. J.-C.
謝淑薇	Hsieh Su-Wei
馬天妮絲	Conchita Martínez
梅艷芳	Anita Mui
荒川區	Arakawa (Tokyo)
Aleksandra Wozniak	Aleksandra Wozniak
葛飾區	Katsushika
何可欣	He Kexin
杉並區	Suginami
杜詩雅	Nathalie Tauziat
板橋區 (日本)	Itabashi
紀子	Kiko d'Akishino
貝嘉晴	Margaret Beckett
台東區	Taitō
Jamie Chung	Jamie Chung
練馬區	Nerima
前414年	414 av. J.-C.
前415年	415 av. J.-C.
火龍果	Pitaya
前416年	416 av. J.-C.
前417年	417 av. J.-C.
255	255 (nombre)
丹頂鶴	Grue du Japon
勝瓜	Luffa
前418年	418 av. J.-C.
前419年	419 av. J.-C.
聖多美島	São Tomé (île)
420年代	Années 420
前420年	420 av. J.-C.
前421年	421 av. J.-C.
世界唔食煙日	Journée mondiale sans tabac
CDS	CDS
B1	B1
米爾卡費達拿	Miroslava Vavrinec
前422年	422 av. J.-C.
神學院	Séminaire (catholicisme)
歌迪莎	Amanda Coetzer
利瑪竇	Matteo Ricci
小澤瑪利亞	Maria Ozawa
前423年	423 av. J.-C.
秀英	Sooyoung
雲安	Xian de Yun'an
前424年	424 av. J.-C.
品川區	Shinagawa
前425年	425 av. J.-C.
川島芳子	Yoshiko Kawashima
前426年	426 av. J.-C.
2006年7月	Juillet 2006
前428年	428 av. J.-C.
2007年7月	Juillet 2007
Holly Brook	Skylar Grey
2007年2月	Février 2007
2009年3月	Mars 2009
祖利亞	Junior
430年代	Années 430
目黑區	Meguro
鄭秀妍	Jessica Jung
前431年	431 av. J.-C.
塔里哈省	Département de Tarija
Ye	YE
蔡英文	Tsai Ing-wen
前432年	432 av. J.-C.
南摩多河	Narmada
烏頭	Mugil cephalus
金泫雅	Kim Hyuna
前434年	434 av. J.-C.
中野區	Nakano
前435年	435 av. J.-C.
前436年	436 av. J.-C.
前437年	437 av. J.-C.
諾麗果	Morinda citrifolia
梵爾賽條約 (搞清楚)	Traité de Versailles (homonymie)
前438年	438 av. J.-C.
前439年	439 av. J.-C.
前440年	440 av. J.-C.
440年代	Années 440
前441年	441 av. J.-C.
平成	Ère Heisei
前442年	442 av. J.-C.
前443年	443 av. J.-C.
前444年	444 av. J.-C.
椎名林檎	Ringo Shiina
宇多田光	Hikaru Utada
2007年3月	Mars 2007
前445年	445 av. J.-C.
2007年8月	Août 2007
拉麪 (日本)	Rāmen
前446年	446 av. J.-C.
2008年10月	Octobre 2008
雅尼	Yanni
前447年	447 av. J.-C.
嘉芙費曼	Cathy Freeman
聖行	Sunna
張曼玉	Maggie Cheung
2009年4月	Avril 2009
前448年	448 av. J.-C.
萊恩群島	Îles de la Ligne
阿拉	Allah
前449年	449 av. J.-C.
地牢	Sous-sol (architecture)
光碟	Disque optique
伊斯蘭教朝聖	Hajj
450年代	Années 450
前451年	451 av. J.-C.
前452年	452 av. J.-C.
收錢機	Caisse enregistreuse
前453年	453 av. J.-C.
聖克魯斯省 (玻利維亞)	Département de Santa Cruz
北區 (東京都)	Kita-ku (Tokyo)
墨田區	Sumida-ku
麪豉	Miso
前455年	455 av. J.-C.
2007年11月	Novembre 2007
劉洋	Liu Yang
前457年	457 av. J.-C.
多啦A夢	Doraemon
北京地鐵	Métro de Pékin
前458年	458 av. J.-C.
前459年	459 av. J.-C.
愛華頓 (搞清楚)	Everton
Netscape Navigator	Netscape Navigator
2006年11月	Novembre 2006
2008年5月	Mai 2008
前460年	460 av. J.-C.
460年代	Années 460
前461年	461 av. J.-C.
宋卡府	Province de Songkhla
前462年	462 av. J.-C.
前463年	463 av. J.-C.
前464年	464 av. J.-C.
衞生巾	Serviette hygiénique
前465年	465 av. J.-C.
平年	Année commune
2009年6月	Juin 2009
2007年4月	Avril 2007
2007年5月	Mai 2007
電筒	Lampe torche
前466年	466 av. J.-C.
前467年	467 av. J.-C.
前468年	468 av. J.-C.
雙魚	Pisces
江青	Jiang Qing
蘇聯加盟共和國	République socialiste soviétique
470年代	Années 470
前471年	471 av. J.-C.
日野市	Hino
信興廣場	Shun Hing Square
鎌倉時代	Époque de Kamakura
寵物小精靈一覽	Liste des Pokémon
粉紅色的一生	La Môme
前472年	472 av. J.-C.
腰	Taille (anatomie)
沙敦府	Province de Satun
2010年2月	Février 2010
前473年	473 av. J.-C.
2008年4月	Avril 2008
前474年	474 av. J.-C.
黃美英	Tiffany (chanteuse coréenne)
泰文字母	Alphasyllabaire thaï
前476年	476 av. J.-C.
2010年1月	Janvier 2010
前477年	477 av. J.-C.
前478年	478 av. J.-C.
豐島區	Toshima
2007年10月	Octobre 2007
2009年7月	Juillet 2009
2009年5月	Mai 2009
甲米府	Province de Krabi
2009年11月	Novembre 2009
2008年11月	Novembre 2008
480年代	Années 480
列治文 (大溫哥華地區)	Richmond (Colombie-Britannique)
前481年	481 av. J.-C.
六式碼	Six Sigma
前482年	482 av. J.-C.
伏羲	Fuxi
前483年	483 av. J.-C.
前484年	484 av. J.-C.
前485年	485 av. J.-C.
2006年6月	Juin 2006
前486年	486 av. J.-C.
前487年	487 av. J.-C.
2009年1月	Janvier 2009
宜蘭縣	Comté de Yilan
前488年	488 av. J.-C.
湯匿水	Eau tonique
前489年	489 av. J.-C.
魯芬 (網球手)	Guillaume Rufin
伊藤由奈	Yuna Itō
平野綾	Aya Hirano
490年代	Années 490
世界末日鐘	Horloge de la fin du monde
希基達	René Higuita
2010年6月	Juin 2010
前491年	491 av. J.-C.
前492年	492 av. J.-C.
清雙唇破音	Consonne occlusive bilabiale sourde
前493年	493 av. J.-C.
青梅市	Oume
會津若松	Aizuwakamatsu
前494年	494 av. J.-C.
前495年	495 av. J.-C.
前496年	496 av. J.-C.
尼日利亞國歌	Arise Oh Compatriots, Nigeria's Call Obey
亞歷山大二世 (蘇格蘭)	Alexandre II d'Écosse
前497年	497 av. J.-C.
道格拉斯·希渣	Douglas Hyde
前498年	498 av. J.-C.
牛屬	Bos
前499年	499 av. J.-C.
波托西省	Département de Potosí
拜祖先	Culte des ancêtres
解構主義建築	Déconstructivisme
南京條約	Traité de Nankin
核反應	Réaction nucléaire
紅花楹	Delonix regia
我哋係冠軍	We Are the Champions
巴布達島	Barbuda
周杰倫	Jay Chou
吉本芭娜娜	Banana Yoshimoto
九龍	Kowloon
2010年5月	Mai 2010
90	90 (nombre)
大溪地足球代表隊	Équipe de Tahiti de football
Super Junior	Super Junior
芬倫	Steve Finnan
菲臘楊哈斯賓	Phil Younghusband
高橋和希	Kazuki Takahashi
廣島	Hiroshima (homonymie)
秋留野市	Akiruno
東村山市	Higashimurayama
史度拉利	Marco Storari
500年代	Années 500
皮費	Coût
布吉國際機場	Aéroport international de Phuket
ACM	ACM
Playboy	Playboy (homonymie)
Girl	Girl
Yui	Yui
Cha	Cha
Yesterday	Yesterday (homonymie)
Ari	ARI
Cep	CEP
李婷 (網球手)	Li Ting (tennis)
胡齊斯坦省	Khouzistan
1989年法國網球公開賽	Internationaux de France de tennis 1989
澳門幣	Pataca
前50年代	Années 50 av. J.-C.
58	58 (nombre)
索馬利人	Somalis
510年代	Années 510
2008年12月	Décembre 2008
2008年8月	Août 2008
Young	Young
卡比李陀羅曼路	Carpineto Romano
九一八事變	Incident de Mukden
古巴鱷	Crocodile de Cuba
小樽市	Otaru
死亡谷	Parc national de la vallée de la Mort
五代十國	Période des Cinq Dynasties et des Dix Royaumes
香港足球代表隊	Équipe de Hong Kong de football
2010年10月	Octobre 2010
2010年8月	Août 2010
2010年9月	Septembre 2010
閉路電視	Vidéosurveillance
2010年3月	Mars 2010
520年代	Années 520
