អាហ្វ្រិក	Afrique
អូរកែវ	Óc Eo
ពហុធាប៊ែរនូយី	Polynôme de Bernoulli
ព្រះធម្មចក្កប្បវត្តនសូត្រ	Dhammacakkappavattana Sutta
ប្រាសាទព្រះពិធូរ	Preah Pithu
អ្នកលឿង	Neak Luong
ឃុំរលួស (ស្រុកស្វាយចេក)	Roluos
ខេត្តបលិខាំសៃ	Province de Borikhamxay
ខណ្ឌរដ្ឋបាលសាលាភីឡាដេលផ្យា	District scolaire de Philadelphie
ស្ពានព្រះមុនីវង្ស	Pont Monivong
សោតទស្សន៏	Œuvre audiovisuelle
ភ្នំឧដុង្គ	Oudong
ទ្រឹស្តីបទមីកេល	Théorème de Miquel
ជនជាតិចារាយ(ខ្មែរលើ)	Jaraï
ស្ថាបត្យករខ្មែរ	Architecture khmère
តារាងនៃស៊េរីគណិតវិទ្យា	Formulaire de développement en série entière
ប្រាសាទតានៃ	Ta Nei
ចំងាយពីចំនុចមួយទៅបន្ទាត់	Distance d'un point à une droite
ចៅ​សែន​ កុសល​ឈុំ	Chau Sen Cocsal
ចំនួនថេរត្រីកោណមាត្រពិត	Table de lignes trigonométriques exactes
បដ្ឋាន	Paṭṭhāna
ជញ្ជាំងក្រហម	Cluny le Fléau
ខ្មែរឥស្សរៈ	Khmers issarak
ព្រះរាជាណាចក្រកម្ពុជា (១៩៥៣-១៩៧០)	Royaume du Cambodge (1953-1970)
មហេន្ទ្រវម៌្មទី១	Mahendra Varman
បណ្តុំកន្សោមរ៉ាឌីកាល់	Radical imbriqué
កោណ្ឌញ្ញៈ	Ajnata Kaundinya
WNBT	WNBC
ស៊ីនុសអាំងតេក្រាល	Sinus intégral
កត្តាអាំងតេក្រាល	Facteur intégrant
ប្រជាសាស្ត្រនៃកម្ពុជា	Démographie du Cambodge
អ្នកស្រែ	Les Gens de la rizière
ការបោះឆ្នោតនៅកម្ពុជា	Élections au Cambodge
ធនាគារអេស៊ីលីដា	ACLEDA Bank
ក្លឹបបាល់ទាត់ បៀលប្រាយយូណាយធីត	Build Bright United
សញ្ញាជាតិរបស់បណ្ដាប្រជាជាតិនៅអាស៊ី	Armoiries d'Asie
ណាយ៉ាន់ ចាន់ដា	Nayan Chanda
បរមសោករាជ	Barom Soccoroch
ទំព័រគំរូ:Location map USA2	Modèle:Géolocalisation/États-Unis
ប្រាសាទបាតជុំ	Bat Chum
ទ្រឹស្តីបទអូស្រ្តូស្គី	Théorème d'Ostrowski
ព្រហ្មជាលសូត្រ	Brahmājālasutta
បណ្ដាញទូរទស្សន៍កម្ពុជា	Cambodian Television Network
Cambodge Soir	Cambodge Soir
ចំណាត់ថ្នាក់ក្រុម:អត្ថបទខ្លីមិនពេញលេញ	Catégorie:Wikipédia:ébauche
ចំណាត់ថ្នាក់ក្រុម:ទ្វីប	Catégorie:Continent
ចំណាត់ថ្នាក់ក្រុម:ភូមិវិទ្យា	Catégorie:Géologie
ចំណាត់ថ្នាក់ក្រុម:យន្តហោះ	Catégorie:Type d'aéronef
ឆាលេស ហ្គេសស្គី	Charles Geschke
ពិធីបុណ្យចូលឆ្នាំខ្មែរ	Chaul Chhnam
ជា វិជ្ជា	Chea Vichea
ព្រះរាជពិធីច្រត់ព្រះនង្គ័ល	Chrat Preah Nongkal
កាលប្បវត្តិកម្ពុជា	Chronologie du Cambodge
ប្រវត្តិសិល្បៈភាពយន្តខ្មែរ	Cinéma cambodgien
ខ្សែកោងក្លេលី	Clélie (mathématiques)
រស់ សេរីសុទ្ធា	Ros Serey Sothear
យុទ្ធនាការកម្ពុជា	Théâtre d'opérations cambodgien pendant la Guerre du Viêt Nam
របាំខ្មែរ	Danse cambodgienne
ជូ ដាវី	Davy Chou
ចំងាយពីចំនុចមួយទៅប្លង់	Distance d'un point à un plan
បញ្ជីស្រុក ក្រុង និង ខណ្ឌកម្ពុជា	Liste des districts du Cambodge
តារាងដេរីវេធម្មតា	Dérivées usuelles
ក្រឡាន	Khao lam
បឹងយក្សឡោម	Yak Loum
បសេនទិកោសល	Pasenadi
វីរៈ តារា	Virak Dara
ព្រឹទ្ធសភាកម្ពុជា	Sénat (Cambodge)
វ៉ិចទ័រប្រាប់ទិស	Vecteur directeur
អនុគមន៍ដសុន	Fonction de Dawson
ខេមបូឌា ដេលី	The Cambodia Daily
ជនជាតិខ្មែរអ៊ីស្លាម	Islam au Cambodge
វិទ្យាស្ថានពុទ្ធសាសនបណ្ឌិត្យ	Institut bouddhique (Cambodge)
ជយទេវីទី១	Jayadevî
កម្ពុជាសម័យអាណានិគមបារាំង	Protectorat français du Cambodge
ទំព័រគំរូ:ប្រព័ន្ធព្រះអាទិត្យ	Modèle:Palette Système solaire
កឹម សុខា	Kem Sokha
លំពង្សរាជា	Lampong Reachea
វិគីភីឌា:សារ ទំព័រគំរូ/លំហឈ្មោះ ការពិភាក្សារបស់អ្នកប្រើប្រាស់	Aide:Modèles pour l'espace Discussion utilisateur
អនុរុទ្ធ	Anuruddha
អង្គជ័យ	Neay Trasac Paem Chay
និព្វានបាទ	Nippean Bat
ពីរ៉ាមីត	Pyramide
បុណ្យភ្ជុំបិណ្ឌ	Pchum ben
ពហុធាអាបែល	Polynôme d'Abel
ស្ពានគីហ្សូណា	Pont Kizuna
ស្ពានព្រែកតាមាក់	Pont Prek Tamak
ការគ្រប់គ្រងរបស់ខ្មែរក្រហមនៅកម្ពុជា	Crimes du régime Khmer rouge
យ៉ូសែប ឆ្មារសាឡាស់	Joseph Chhmar Salas
ស៊ីន ស៊ីសាមុត	Sinn Sisamouth
សិទ្ធានរាជា	Sithean Reachea
ស្រីសុរិយោទ័យទី១	Soriyoteï Ier
ស្រីសុរិយោវង្ស	Soriyovong
ពន្ធតែមប្រិ៍	Droit d'enregistrement
តារាង គោល	Table des bases
ធម្មាសោករាជ	Thommo Soccoroch
ទ្រឹស្តីបទអាឡាស៊ី	Théorème d'Alasia
ទ្រឹស្តីបទក្លែរ៉ូ	Théorème de Clairaut (géométrie)
ទ្រឹស្តីបទហ្គែរហ្គោន	Théorème de Gergonne
ទ្រឹស្តីបទគីរ៉ា	Théorème de Girard
ទ្រឹស្ដីបទចំនុចកណ្ដាល	Théorème des milieux
វិគីភីឌាភាសាខ្មែរ	Wikipédia en khmer
ការបោះឆ្នោតជ្រើសតាំងតំណាងរាស្ត្រ នីតិកាលទី៥ ឆ្នាំ២០១៣	Élections législatives cambodgiennes de 2013
គ្រោះមហន្តរាយ	Catastrophe
វិគីភីឌា:Reference desk	Wikipédia:Oracle
ទំព័រគំរូ:Authority control	Modèle:Autorité
ទំព័រគំរូ:Quote	Modèle:Citation
ទំព័រគំរូ:Wikipedia languages	Modèle:Wikipedialang
ទំព័រគំរូ:Location map Scotland	Modèle:Géolocalisation/Écosse
ទំព័រគំរូ:Location map England	Modèle:Géolocalisation/Angleterre
ចំណាត់ថ្នាក់ក្រុម:សេដ្ឋកិច្ច	Catégorie:Économie
វិគីភីឌា:សុំប្តូរអត្តនាម	Wikipédia:Demande de renommage de compte utilisateur
ចំណាត់ថ្នាក់ក្រុម:ជនជាតិ ភាគតិច ក្នុង ប្រទេស កម្ពុជា	Catégorie:Groupe ethnique du Cambodge
វិគីភីឌា:Oversight	Wikipédia:Masqueur de modifications
វិគីភីឌា:IP block exemption	Wikipédia:Exemption de blocage d'IP
វិគីភីឌា:រូបយន្ត	Wikipédia:Bot
ចំណាត់ថ្នាក់ក្រុម:Hidden categories	Catégorie:Catégorie cachée
ទំព័រគំរូ:WP:UBS	Modèle:Palette Boîtes Utilisateur
អេហ៊្សីប	Égypte
ជំនួយ:ទំព័រគំរូ	Aide:Modèle
ឦសានវម៌្មទី១	Içanavarman Ier
វិគីភីឌា:វិគីគម្រោង	Projet:Accueil
យីហ៊ុប	Magnolia coco
ទំព័រគំរូ:Bot	Modèle:Bot
វិគីភីឌា:អ្វីៗដែលវិគីភីឌាមិនអនុញ្ញាត	Wikipédia:Ce que Wikipédia n'est pas
ឧទ្យានជាតិបុទុមសាគរ	Parc national de Botum Sakor
កាណាដា	Canada
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសអាយឡែន	Catégorie:Islande
វិគីភីឌា:អំពីវិគីភីឌា	Wikipédia:À propos
ចំណាត់ថ្នាក់ក្រុម:ខ្នាតក្រលាផ្ទៃ	Catégorie:Unité de surface
ជំនួយ:ពាក្យទិព្វ	Aide:Mot magique
សហព័ន្ធខ្មែរកម្ពុជាក្រោម	Fédération des Khmers du Kampuchéa Krom
ទំព័រគំរូ:Flagicon	Modèle:Drapeau
ចំណាត់ថ្នាក់ក្រុម:អឺរ៉ុប	Catégorie:Europe
ចំណាត់ថ្នាក់ក្រុម:ជំនួយក្នុងវិគីភីឌា	Catégorie:Espace Aide
វិគីភីឌា:ទំព័រអ្នកប្រើប្រាស់	Aide:Page utilisateur
វិគីភីឌា:ព្រឹត្តិការណ៍​ថ្មីៗ	Portail:Actualité
ទំព័រគំរូ:Documentation	Modèle:Documentation
វិគីភីឌា:អ្នកប្រើប្រាស់	Aide:Statuts des utilisateurs
វិគីភីឌា:Protection policy	Wikipédia:Protection
វិគីភីឌា:WikiLove	Wikipédia:WikiLove
វិគីភីឌា:Userboxes	Wikipédia:Boîte Utilisateur
វិគីភីឌា:ហត្ថលេខា	Aide:Signature
វិគីភីឌា:អត្ថបទខ្លីមិនពេញលេញ	Aide:Ébauche
វិគីភីឌា:លក្ខណៈវិនិច្ឆ័យនៃលុបជាបន្ទាន់	Wikipédia:Critères de suppression immédiate
វិគីភីឌា:Most wanted articles	Wikipédia:Articles à créer
ចំណាត់ថ្នាក់ក្រុម:ទំព័រអសង្ស័យកម្ម អំពីឈ្មោះទីកន្លែង	Catégorie:Homonymie de toponyme
្ឞ្ញ ហ្សអិ-អិអៀ	Sung Jae-ki
ទំព័រគំរូ:Facebook navbox	Modèle:Palette Facebook
វិគីភីឌា:Huggle	Wikipédia:Huggle
ទំព័រគំរូ:Softredirect	Modèle:Redirection douce
ទំព័រគំរូ:លុបជាបន្ទាន់	Modèle:Suppression Immédiate
ក្លោងទ្វារ:ចិន	Portail:Monde chinois
វិគីភីឌា:វិគីគម្រោង ជីវប្រវត្តិ	Projet:Biographie
ទំព័រគំរូ:Succession	Modèle:Succession
ជំនួយ:ប្រអប់ព័ត៌មាន	Aide:Infobox
ក្រុងដូនកែវ	Doun Kaev
ឧទ្យានជាតិកែប	Parc national de Kep
ឧទ្យានជាតិមុនីវង្យបូកគោ	Parc national de Preah Monivong
ត្រីកោណមាត្រកុំផ្លិច	Trigonométrie complexe
វិសមភាពតូលេមី	Inégalité de Ptolémée
ឧទ្យានជាតិព្រះសីហនុរាម	Parc national de Ream
ចំណាត់ថ្នាក់ក្រុម:ភាសា	Catégorie:Langue
ចំណាត់ថ្នាក់ក្រុម:វេយ្យាករណ៍	Catégorie:Grammaire
ចំណាត់ថ្នាក់ក្រុម:វិគីភីឌា	Catégorie:Wikipédia
វិគីភីឌា:ការបដិសេធ ទូទៅ	Wikipédia:Avertissements généraux
ជំនួយ:ចំណាត់ថ្នាក់ក្រុម	Aide:Catégorie
វិគីភីឌា:សារទំព័រគំរូ	Aide:Liste de modèles
វិគីភីឌា:អសង្ស័យកម្ម	Wikipédia:Conventions de style
Portal:Contents/Portals	Portail:Accueil
គណបក្សសង្គ្រោះជាតិ	Parti du sauvetage national du Cambodge
ទំព័រគំរូ:Navbox	Modèle:Méta palette de navigation
ជំនួយ:រូបមន្ត	Aide:Formules TeX
ជំនួយ:តំណភ្ជាប់	Aide:Liens
ទំព័រគំរូ:Citation needed	Modèle:Citation nécessaire
តំបន់ពាណិជ្ជកម្មសេរី	Zone de libre-échange
ទំព័រគំរូ:Error	Modèle:Error
ទំព័រគំរូ:!	Modèle:!
ចំណាត់ថ្នាក់ក្រុម:Flag templates	Catégorie:Modèle drapeau
ទំព័រគំរូ:((	Modèle:((
ទំព័រគំរូ:))	Modèle:))
ទំព័រគំរូ:=	Modèle:=
ទំព័រគំរូ:Navbar	Modèle:Tnavbar
ទំព័រគំរូ:Loop	Modèle:Loop
ទំព័រគំរូ:Void	Modèle:Void
ទំព័រគំរូ:Key press	Modèle:Touche
ទំព័រគំរូ:Okina	Modèle:Okina
ទំព័រគំរូ:Sc	Modèle:Petites capitales
ទំព័រគំរូ:Small	Modèle:Petit
ទំព័រគំរូ:Clear	Modèle:Clr
ទំព័រគំរូ:Col-break	Modèle:Col-break
ទំព័រគំរូ:Col-begin	Modèle:Col-début
ទំព័រគំរូ:Col-end	Modèle:Col-fin
ទំព័រគំរូ:Trim	Modèle:Trim
ទំព័រគំរូ:Color	Modèle:Coloré
ទំព័រគំរូ:Nowrap	Modèle:Nobr
ទំព័រគំរូ:Bots	Modèle:Bots
ទំព័រគំរូ:Abbr	Modèle:Abréviation
វិគីភីឌា:វិគីគម្រោង ទំព័រគំរូ	Projet:Modèle
ចំណាត់ថ្នាក់ក្រុម:ខ្សែកោង	Catégorie:Courbe
ទំព័រគំរូ:Babel	Modèle:Boîte Babel
ទំព័រគំរូ:Commons	Modèle:Commons
ទំព័រគំរូ:Reflist	Modèle:Références
ទំព័រគំរូ:NavPeriodicTable	Modèle:Infobox Élément/Mini table périodique
វិគីភីឌា:Citing sources	Wikipédia:Citez vos sources
ទំព័រគំរូ:អត្ថបទខ្លីមិនពេញលេញ	Modèle:Ébauche
ទំព័រគំរូ:User af-1	Modèle:Utilisateur af-1
ទំព័រគំរូ:User als-1	Modèle:Utilisateur als-1
ទំព័រគំរូ:User az	Modèle:Utilisateur az
ទំព័រគំរូ:User bar-1	Modèle:Utilisateur bar-1
ទំព័រគំរូ:See also	Modèle:Article connexe
ទំព័រគំរូ:User de	Modèle:Utilisateur de
ទំព័រគំរូ:User de-1	Modèle:Utilisateur de-1
ទំព័រគំរូ:User et-1	Modèle:Utilisateur et-1
ទំព័រគំរូ:User el	Modèle:Utilisateur el
ទំព័រគំរូ:User es	Modèle:Utilisateur es
ទំព័រគំរូ:User de-3	Modèle:Utilisateur de-3
ទំព័រគំរូ:User en-3	Modèle:Utilisateur en-3
ទំព័រគំរូ:User en-1	Modèle:Utilisateur en-1
ទំព័រគំរូ:User en-2	Modèle:Utilisateur en-2
ទំព័រគំរូ:User en-4	Modèle:Utilisateur en-4
ទំព័រគំរូ:User fi	Modèle:Utilisateur fi
ទំព័រគំរូ:User en-0	Modèle:Utilisateur en-0
ទំព័រគំរូ:User es-4	Modèle:Utilisateur es-4
ទំព័រគំរូ:User en	Modèle:Utilisateur en
ទំព័រគំរូ:User de-2	Modèle:Utilisateur de-2
ទំព័រគំរូ:User es-1	Modèle:Utilisateur es-1
ទំព័រគំរូ:User fa	Modèle:Utilisateur fa
ទំព័រគំរូ:User fr-1	Modèle:Utilisateur fr-1
ទំព័រគំរូ:User id-3	Modèle:Utilisateur id-3
ទំព័រគំរូ:User it-3	Modèle:Utilisateur it-3
ទំព័រគំរូ:User tr-2	Modèle:Utilisateur tr-2
ទំព័រគំរូ:User fr-2	Modèle:Utilisateur fr-2
ទំព័រគំរូ:User tr	Modèle:Utilisateur tr
ទំព័រគំរូ:User ja	Modèle:Utilisateur ja
ទំព័រគំរូ:User ja-1	Modèle:Utilisateur ja-1
ទំព័រគំរូ:User it-1	Modèle:Utilisateur it-1
ទំព័រគំរូ:User fr	Modèle:Utilisateur fr
ទំព័រគំរូ:User gsw-1	Modèle:Utilisateur gsw-1
ចំណាត់ថ្នាក់ក្រុម:Navigational boxes	Catégorie:Palette de navigation
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសតាជីគីស្ថាន	Modèle:Country data Tadjikistan
ចំណាត់ថ្នាក់ក្រុម:អាស៊ី	Catégorie:Asie
ចំណាត់ថ្នាក់ក្រុម:User uk-N	Catégorie:Utilisateur uk-M
ទំព័រគំរូ:Lang-ja	Modèle:Lang-ja
ទំព័រគំរូ:Football squad player	Modèle:Fs player
ទំព័រគំរូ:ទិន្នន័យប្រទេស គុយវ៉ែត	Modèle:Country data Koweït
ទំព័រគំរូ:Mod	Modèle:Mod
ទំព័រគំរូ:Now Commons	Modèle:Image sur Commons
ទំព័រគំរូ:User it	Modèle:Utilisateur it
ទំព័រគំរូ:User uk	Modèle:Utilisateur uk
ទំព័រគំរូ:User es-2	Modèle:Utilisateur es-2
ទំព័រគំរូ:ស្វាគមន៍	Modèle:Bienvenue nouveau
ទំព័រគំរូ:គម្រោងវិគីជាបងប្អូន	Modèle:Projets Wikimedia
ចំណាត់ថ្នាក់ក្រុម:External link templates	Catégorie:Modèle créant un lien externe
ទំព័រគំរូ:Month header	Modèle:Palette Mois
ទំព័រគំរូ:ទិន្នន័យប្រទេស ស្លូវ៉ាគី	Modèle:Country data Slovaquie
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូសំរាប់កូអរដោនេ	Catégorie:Modèle de coordonnées
ទំព័រគំរូ:Country flagnavy	Modèle:Marine de guerre/callback
ទំព័រគំរូ:USA	Modèle:États-Unis
ទំព័រគំរូ:ទិន្នន័យប្រទេស អេត្យូពី	Modèle:Country data Éthiopie
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឆេក	Modèle:Country data République tchèque
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសថៃ	Modèle:Country data Thaïlande
ទំព័រគំរូ:ទិន្នន័យប្រទេស គុយបា	Modèle:Country data Cuba
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាល់បានី	Modèle:Country data Albanie
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉េរូ	Modèle:Country data Pérou
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាកាវ	Modèle:Country data Macao
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ូបេគីស្ថាន	Modèle:Country data Ouzbékistan
ចំណាត់ថ្នាក់ក្រុម:User ms	Catégorie:Utilisateur ms
ទំព័រគំរូ:Continent-based templates	Modèle:Modèles basés continent
ទំព័រគំរូ:Months	Modèle:Palette Éphéméride
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសឡាតវី	Modèle:Country data Lettonie
ទំព័រគំរូ:Football kit	Modèle:Football kit
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ាល់តា	Modèle:Country data Malte
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសម៉ូណាកូ	Modèle:Country data Monaco
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសដាណឺម៉ាក	Modèle:Country data Danemark
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប៉ូឡូញ	Modèle:Country data Pologne
ទំព័រគំរូ:Wikipedia policies and guidelines	Modèle:Palette Règles et recommandations
ចំណាត់ថ្នាក់ក្រុម:User fr-1	Catégorie:Utilisateur fr-1
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសណ័រវ៉េ	Modèle:Country data Norvège
ទំព័រគំរូ:ទិន្នន័យប្រទេស ហ្សកហ៊្សី	Modèle:Country data Géorgie
ទំព័រគំរូ:Wikiquote	Modèle:Wikiquote
ទំព័រគំរូ:Country showdata	Modèle:Country showdata
ទំព័រគំរូ:Image label	Modèle:Image label
ទំព័រគំរូ:ទិន្នន័យប្រទេស ស្រីលង្កា	Modèle:Country data Sri Lanka
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសមិចសិច	Modèle:Country data Mexique
ទំព័រគំរូ:ទិន្នន័យប្រទេស ក្រិច	Modèle:Country data Grèce
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអារ៉ាប៊ីសាអូឌីត	Modèle:Country data Arabie saoudite
ទំព័រគំរូ:Category tree	Modèle:Category tree
ទំព័រគំរូ:ទិន្នន័យប្រទេស ក្រូអាត	Modèle:Country data Croatie
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន អ្នកនិពន្ធ	Modèle:Infobox Écrivain
ទំព័រគំរូ:Ja icon	Modèle:Ja
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសសហភាពអារ៉ាប់អេមីរ៉េត	Modèle:Country data Émirats arabes unis
ទំព័រគំរូ:Infobox television	Modèle:Infobox Émission de télévision
ទំព័រគំរូ:Geographic location	Modèle:Localisation ville
ទំព័រគំរូ:Prose	Modèle:À délister
ទំព័រគំរូ:Infobox musical artist	Modèle:Infobox Musique (artiste)
ទំព័រគំរូ:ទិន្នន័យប្រទេស Serbia	Modèle:Country data Serbie
ទំព័រគំរូ:Collapsible list	Modèle:Collapsible list
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូស្រ្តាលី	Modèle:Country data Australie
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប៉ាឡេស្ទីន	Modèle:État de Palestine
ទំព័រគំរូ:Subatomic particle	Modèle:Subatomic particle
ទំព័រគំរូ:In use	Modèle:En cours
ទំព័រគំរូ:Es icon	Modèle:Es
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសបារាំង	Modèle:Country data France
ទំព័រគំរូ:Ambox	Modèle:Méta bandeau d'avertissement
ទំព័រគំរូ:Update	Modèle:Mettre à jour
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន មន្ទីរពេទ្យ	Modèle:Infobox Hôpital
ទំព័រគំរូ:Image requested	Modèle:À illustrer
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភ្លេងជាតិ	Modèle:Infobox Hymne
ទំព័រគំរូ:Navigation templates	Modèle:Palette Modèles navigationnels
ទំព័រគំរូ:Very long	Modèle:Trop long
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសគាហ្គីស្ថាន	Modèle:Kirghizistan
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាលារៀន	Modèle:Infobox École
ទំព័រគំរូ:Userboxbottom	Modèle:BUfin
ទំព័រគំរូ:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូ	Modèle:Aide catégorie de modèles
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រទេស	Modèle:Infobox Pays
ទំព័រគំរូ:Max	Modèle:Max
ទំព័រគំរូ:Infobox software	Modèle:Infobox Logiciel
ទំព័រគំរូ:ទិន្នន័យប្រទេស ឡាវ	Modèle:Country data Laos
ទំព័រគំរូ:Infobox airline	Modèle:Infobox Compagnie aérienne
ទំព័រគំរូ:Wide image	Modèle:Image panoramique
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអូទ្រីស	Modèle:Country data Autriche
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ជម្លោះយោធា	Modèle:Infobox Conflit militaire
វិគីភីឌា:សំណួរ	Aide:Poser une question
ទំព័រគំរូ:Redirect4	Modèle:Str left
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសនេប៉ាល់	Modèle:Country data Népal
ទំព័រគំរូ:Pagelist	Modèle:MultiParamètres-Lien
ទំព័រគំរូ:Resolved	Modèle:Fait
ទំព័រគំរូ:Str sub long	Modèle:Str sub long
ទំព័រគំរូ:Documentation/docname	Modèle:Documentation/docname
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហ្វាំងឡង់	Modèle:Country data Finlande
ទំព័រគំរូ:Selfref	Modèle:Voir aussi Wikipédia
ទំព័រគំរូ:Flatlist	Modèle:Liste éléments
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសហ្វីលីពីន	Modèle:Philippines
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអេស៊ីប	Modèle:Country data Égypte
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសលីថូនី	Modèle:Country data Lituanie
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន គណបក្សនយោបាយ	Modèle:Infobox Parti politique
ទំព័រគំរូ:ទិន្នន័យប្រទេស ជប៉ុន	Modèle:Country data Japon
ទំព័រគំរូ:Expand section	Modèle:Section vide ou incomplète
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហូឡង់	Modèle:Country data Pays-Bas
ទំព័រគំរូ:Navbox with columns	Modèle:Méta palette de navigation avec colonnes
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ល្បែងវីដេអូ	Modèle:Infobox Jeu vidéo
ទំព័រគំរូ:S-start	Modèle:S-start
ទំព័រគំរូ:IsLeapYear	Modèle:ISLEAPYEAR
ទំព័រគំរូ:Age in years and days	Modèle:Âge en années et jours
ទំព័រគំរូ:Nom	Modèle:Nom
ទំព័រគំរូ:Cleanup	Modèle:À recycler
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន សាកលវិទ្យាល័យ	Modèle:Infobox Université
ទំព័រគំរូ:Cite journal	Modèle:Article
ទំព័រគំរូ:ទិន្នន័យប្រទេស អាស៊ែបៃហ្សង់	Modèle:Country data Azerbaïdjan
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសប្រ៊ុយណេ	Modèle:Brunei
ទំព័រគំរូ:User browser:Firefox	Modèle:Utilisateur Firefox
ទំព័រគំរូ:User es-0	Modèle:Utilisateur es-0
ទំព័រគំរូ:Time ago	Modèle:Time ago
ទំព័រគំរូ:Familytree	Modèle:Arbre généalogique
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាម	Modèle:Country data Viêt Nam
ទំព័រគំរូ:S-aft	Modèle:S-aft
ទំព័រគំរូ:Featured article	Modèle:Article de qualité
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសរុស្ស៊ី	Modèle:Country data Russie
ទំព័រគំរូ:Infobox monarch	Modèle:Infobox Panchen Lama
ចំណាត់ថ្នាក់ក្រុម:User en-4	Catégorie:Utilisateur en-4
ចំណាត់ថ្នាក់ក្រុម:User en	Catégorie:Utilisateur en
ចំណាត់ថ្នាក់ក្រុម:User zh	Catégorie:Utilisateur zh
ចំណាត់ថ្នាក់ក្រុម:User zh-N	Catégorie:Utilisateur zh-M
ចំណាត់ថ្នាក់ក្រុម:User en-2	Catégorie:Utilisateur en-2
ទំព័រគំរូ:Infobox instrument	Modèle:Infobox Musique (instrument)
ទំព័រគំរូ:TOC right	Modèle:Sommaire à droite
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ប្រាសាទ	Modèle:Infobox Temple hindouiste
ទំព័រគំរូ:RankedMedalTable	Modèle:TableauMédaillesTriable
ទំព័រគំរូ:User zh	Modèle:Utilisateur zh
ទំព័រគំរូ:Lang-kk	Modèle:Lang-kk
ទំព័រគំរូ:Template other	Modèle:Template other
ទំព័រគំរូ:Legend	Modèle:Légende
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន បណ្ណាល័យ	Modèle:Infobox Bibliothèque
ទំព័រគំរូ:Cite web	Modèle:Lien web
ទំព័រគំរូ:YouTube	Modèle:YouTube
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអ៊ីតាលី	Modèle:Country data Italie
ទំព័រគំរូ:Current	Modèle:Événement en cours
ទំព័រគំរូ:ទិន្នន័យប្រទេស	Modèle:Country data
ទំព័រគំរូ:Won	Modèle:Lauréat
ទំព័រគំរូ:Tnavbar-collapsible	Modèle:Tnavbar-collapsible
ទំព័រគំរូ:Coor URL	Modèle:Coord/URL
ទំព័រគំរូ:Pp-template	Modèle:Protection
ទំព័រគំរូ:Min	Modèle:Min
ទំព័រគំរូ:Wiktionary	Modèle:Wiktionnaire
ទំព័រគំរូ:Multi-listen start	Modèle:Multi-son début
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសស៊ុយអែត	Modèle:Country data Suède
ទំព័រគំរូ:Chem	Modèle:Formule chimique
ទំព័រគំរូ:Language icon	Modèle:Indication de langue
ទំព័រគំរូ:Lang-sr	Modèle:Lang-sr
ទំព័រគំរូ:User ru	Modèle:Utilisateur ru
ទំព័រគំរូ:Admin	Modèle:Admin
ទំព័រគំរូ:IPA	Modèle:Prononciation API
