ఆఫ్రికా	Afrique
ఐసోట్రిటినోయిన్	Isotrétinoïne
బాహీనియా	Bauhinia
లోరియస్	Lorius (genre)
రమణ మహర్షి	Ramana Maharshi
జిరాఫీ వీవిల్	Scarabée girafe
ఓన్ క్లౌడ్	OwnCloud
పసుపు ఛాతీ లోరి	Lori à collier jaune
సెలీనా జైట్లీ	Celina Jaitley
బాబీ జిందాల్	Bobby Jindal
లియాండర్ పేస్	Leander Paes
అరవింద్ అడిగా	Aravind Adiga
కాండిడా	Candida
రామస్వామి వెంకట్రామన్	Ramaswamy Venkataraman
మడికేరి	Madikeri
ముకేష్ అంబానీ	Mukesh Ambani
వేపుడు	Friture
శునక భంగిమ	Levrette (position sexuelle)
ఐసాన్ తోకచుక్క	C/2012 S1 (ISON)
పెజోపోరిని	Pezoporus
ఇడుక్కి	Idukki (district)
ఆరోన్ స్వార్ట్జ్	Aaron Swartz
బహిర్జంఘిక	Fibula
సమ్మె	Strike
బౌధ్	Baudh
అబాకవిర్	Abacavir
హోషియార్‌పూర్	District de Hoshiarpur
అనుసరించవద్దు	Nofollow
డి.పి.కె.జి.	Dpkg
IGoogle	IGoogle
అబ్దుల్ ఖాదిర్ జీలాని	Abd al Qadir al-Jilani
కూతురు	Fille (parenté)
కరెన్సీ సంకేతం	Symbole monétaire
అమెరికా సంయుక్త రాష్ట్రాల కమ్యూనిస్ట్ పార్టీ	Parti communiste des États-Unis d'Amérique
ఎండమావి	Mirage
నత్త	Escargot
స్టాప్ మోషన్ యానిమేషన్	Animation en volume
ఎ టేల్ అఫ్ టు సిటీస్	Le Conte de deux cités
ఆచరణాదేశక వర్గం	Bureau politique
నామాల పిల్లి	Chat rubigineux
క్రోకడైలస్	Crocodylus
రాయల్ పామ్	Roystonea
కాక్సీనియా	Coccinia
మనిల్కరా	Manilkara
మధూక	Madhuca
ఉసిరి	Amla
ది గ్రడ్జ్	The Grudge
మెకిన్సే	McKinsey & Company
జిల్లేడు	Calotropis
మొరింగేసి	Moringa
రేగు	Jujubier
నీలిమందు మొక్క	Indigofera
సంజయ్ దత్	Sanjay Dutt
చామ దుంప	Colocasia
తాటి	Borassus
నందివర్ధనం	Tabernaemontana
ఫిలాంథస్	Phyllanthus (plante)
కాశీ వంగ	Solanum viarum
ఫైలేరియా	Wuchereria bancrofti
సెన్నా	Senna (genre)
క్రోటలేరియా	Crotalaria
కుతుబుద్దీన్ ఐబక్	Qûtb ud-Dîn Aibak
పాషాణ భేది	Coleus barbatus
అడవి దుంప	Hoffe
సెస్బానియా	Sesbania
సైడా	Sida (genre végétal)
పున్నాగ	Takamaka (arbre)
కాథలిక్	Catholicité
అలాంజియమ్	Alangium
ఐజాక్ మెరిట్ సింగర్	Isaac Merritt Singer
పచ్చ గన్నేరు	Thévétia du Pérou
శంఖపుష్పం	Clitoria ternatea
కనిష్కుడు	Kanishka
రాయ్ ఎమర్సన్	Roy Emerson
విలియం స్టాన్లీ జీవాన్స్	William Stanley Jevons
ఫ్రాంక్ విటిల్	Frank Whittle
మెగస్తనీసు	Mégasthène
పరమహంస యోగానంద	Paramahansa Yogananda
కబీరుదాసు	Kabîr
అశ్వఘోషుడు	Ashvaghosha
నాథూరామ్ గాడ్సే	Nathuram Godse
మహేష్ భూపతి	Mahesh Bhupathi
బాలగంగాధర తిలక్	Bal Gangadhar Tilak
జెఫ్ బెజోస్	Jeff Bezos
వి. వి. గిరి	Varahagiri Venkata Giri
మెహర్ బాబా	Meher Baba
కబీర్ బేడి	Kabir Bedi
ఇమ్రాన్ ఖాన్(నటుడు)	Imran Khan (acteur)
ఖాన్ అబ్దుల్ గఫార్ ఖాన్	Khan Abdul Ghaffar Khan
గురు గోవింద సింగ్	Guru Gobind Singh
తులసీదాసు	Tulsîdâs
ఫాహియాన్	Faxian
గోపాలకృష్ణ గోఖలే	Gopal Krishna Gokhale
ఎం.ఎన్.రాయ్	Manabendra Nath Roy
భారత రాష్ట్రపతి	Président de l'Inde
రజతాక్షి	Zostérops à dos gris
డోనాల్డ్ బ్రాడ్‌మాన్	Donald Bradman
ఇన్స్టంట్ కెమెరా	Appareil photographique instantané
సూదిబెజ్జం కెమెరా	Sténopé
అనిల్ కపూర్	Anil Kapoor
జగదీశ్ చంద్ర బోస్	Jagadish Chandra Bose
జ్యోతీరావ్ ఫులే	Mahatma Jyotirao Phule
విశ్వనాధ్ ప్రతాప్ సింగ్	Vishwanath Pratap Singh
బిందుసారుడు	Bindusâra
సర్ జేమ్స్ జీన్స్	James Jeans
శాంతా క్లాజ్	Père Noël
మానసిక ఆరోగ్యం	Santé mentale
గుల్జారీలాల్ నందా	Gulzarilal Nanda
ఫకృద్దీన్ అలీ అహ్మద్	Fakhruddin Ali Ahmed
రావి నది	Ravi (rivière)
ఇంటర్నెట్ అత్యున్నత స్థాయి డొమైన్ల జాబితా	Liste des domaines Internet de premier niveau
పీటర్ నార్త్	Peter North
శీఘ్రస్ఖలనం	Éjaculation précoce
మార్టిన్ కూపర్	Martin Cooper
షాహిద్ కపూర్	Shahid Kapoor
రైన్బో లోరికీట్	Loriquet à tête bleue
అధో జిహ్వ నాడి	Nerf hypoglosse
ట్రోక్లియర్ నాడి	Nerf trochléaire
బియాస్ నది	Beâs
చత్వారము	Presbytie
చిరునామా	Adresse postale
బెంగుళూరు వంకాయ	Chayote
ఔషధశాస్త్రం	Pharmacognosie
పొదుపు	Épargne
కూటకము	Marteau (os)
జనవరి 2006	Janvier 2006
కోడిపందెం	Combat de coqs
చరణ్ సింగ్	Charan Singh
పెట్టుబడి బ్యాంకింగ్	Banque d'investissement
రిథమ్‌బాక్స్	Rhythmbox
జమ్సేట్జి టాటా	Jamsetji Tata
దేవానంద్	Dev Anand
జామ	Psidium
అభిజిత్ గుప్తా	Abhijeet Gupta
అభిజ్ఞాన శాకుంతలము	La Reconnaissance de Shâkountalâ
అభినవ్ బింద్రా	Abhinav Bindra
కుంకుడు	Sapindus
ఉడల్గురి	District d'Udalguri
భారతరత్న	Bharat Ratna
నెయ్యి	Ghi
కస్తూరి	Musc
భారతీయ సంస్కృతి	Culture indienne
సారనాథ్	Sarnath
వృషణాల క్యాన్సర్	Cancer du testicule
సరస్వతీ ఆకు	Centella asiatica
చంద్రయాన్-2	Chandrayaan-2
రాకేశ్ శర్మ	Rakesh Sharma
దాల్ సరస్సు	Lac Dhal
విక్రం సారాభాయ్	Vikram Sarabhai
హోమీ భాభా	Homi Jehangir Bhabha
సాలెహ్ ప్రవక్త	Sâlih
హెపటైటిస్ E	Hépatite E
మావెన్	MAVEN
వ్యవస్థ నిర్వాహకుడు	Administrateur systèmes
ది ఈవిల్ డెడ్	Evil Dead
కరపత్రం	Tract
ఎ టేల్ ఆఫ్ టు సిస్టర్స్ (2008 సినిమా)	Les Intrus
వెబ్‌‌మెయిల్‌	Messagerie web
దివ్యజ్ఞాన సమాజము	Société théosophique
అంతర్జాతీయ శాంతి దినోత్సవం	Journée internationale de la paix
శాంటాలేసి	Santalaceae
ఎన్రాన్	Enron
స్నానం	Baignade
రుమటాలజీ (కీళ్ల నొప్పుల శాస్త్రం)	Rhumatologie
క్లాస్ట్రీడియం	Clostridium
HL7	Health Level 7
బోస్ కార్పోరేషన్	Bose (entreprise)
కౌగిలి	Câlin
భారతీయ సినిమా	Cinéma indien
స్పర్శ	Somesthésie
వీసా(VISA)	VISA International Service Association
మత్స్యావతారము	Matsya
మేరీ కాం	Mary Kom
ఫిబ్రవరి 2006	Février 2006
అవిశ్వాస తీర్మానం	Motion de censure
అభయపత్రం	Garantie
వ్యాసుడు	Vyāsa
రక్త పింజరి	Daboia russelii
డ్రాగన్ హార్ట్	Cœur de dragon
భారతీయ వాయుసేన	Force aérienne indienne
అసౌష్ఠవత	Asymétrie (statistiques)
అనుష్క శెట్టి	Anushka Shetty
ఫెర్మాట్ సూత్రం	Principe de Fermat
ధనుష్	Dhanush
లార్డ్స్ క్రికెట్ స్టేడియం	Lord's Cricket Ground
టాటా గ్రూప్	Tata Group
వయసుపైబడుట	Vieillissement
శంకర దయాళ్ శర్మ	Shankar Dayal Sharma
తలంబ్రాలు చెట్టు	Lantana camara
రంజిత్ సింగ్	Ranjît Singh
ఫిరాయింపు	Transfuge
సరస్సు కొంగ	Grue antigone
వారియర్ (మల్లయోధుడు)	The Ultimate Warrior
ఫరీద్ జకారియ	Fareed Zakaria
చార్‌ల్స్ విల్సన్ (రాజకీయవేత్త)	Charles Wilson (politique)
అమ్రీష్ పురి	Amrish Puri
రాజా రవివర్మ	Ravi Varmâ
విల్ డ్యురాంట్	Will Durant
బెస్సేమర్ పద్ధతి	Procédé Bessemer
SAT	SAT Reasoning Test
మెర్రిల్ లించ్	Merrill Lynch
ప్రపంచ జన్మస్థానం (చిత్రపటం)	L'Origine du monde
జిహ్వ గ్రసని నాడి	Nerf glossopharyngien
ఫాసియోలా హిపాటికా	Fasciola hepatica
భరతనాట్యం	Bharata natyam
రవాణా విధానం	Mode de transport
మోర్గాన్ స్టాన్లీ	Morgan Stanley
ఆర్.కే. నారాయణ్	R. K. Narayan
చంద్రశేఖర్ సింగ్	Chandra Shekhar
దేవమాత	Déesse mère
అక్టోబర్ 2005	Octobre 2005
స్టొరీబోర్డ్	Storyboard
అబుల్ ఫజల్ ఇబ్న్ ముబారక్	Abul al-Fazl ibn Mubarak
పెప్సికో	PepsiCo
ఖాజీ నజ్రుల్ ఇస్లాం	Kazi Nazrul Islam
షమ్మీ కపూర్	Shammi Kapoor
జ్ఞాని జైల్ సింగ్	Giani Zail Singh
అబూబక్ర్	Abou Bakr As-Siddiq
మసనోబు ఫుకుఒక	Masanobu Fukuoka
జయదేవ	Jayadeva (poète hindou)
భర్తృహరి	Bhartrihari
రాహుల్ బోస్	Rahul Bose
రామ్మోహన్ రాయ్	Râm Mohan Roy
సౌర స్థిరాంకం	Constante solaire
జ్యోతిబసు	Jyoti Basu
గురు రాందాస్	Guru Ram Das
మధ్వాచార్యుడు	Madhva
నీలం సంజీవరెడ్డి	Neelam Sanjiva Reddy
గడ్డివాము	Foin
గిర్ అభయారణ్యం	Parc national et sanctuaire faunique de Gir
నిజాయితీ	Honnêteté
రాజపుత్రులు	Rajput
HIV పరీక్ష	Test VIH
టాంగో (నృత్యం)	Tango (danse)
రోసిడ్స్	Rosidées
గాడ్జెట్	Gadget
క్రిస్	Chris
హిప్పీ	Hippie
అజిత్ కుమార్	Ajith Kumar
ప్రైవేట్	Private (homonymie)
అక్క్యూట్ రెస్పిరేటరీ డిస్ట్రెస్ సిండ్రోం	Syndrome de détresse respiratoire aiguë
ఆడమ్ గిల్‌క్రిస్ట్	Adam Gilchrist
షట్టరు వేగం	Temps de pose
జాతీయ ఆదాయం	Comptabilité nationale
ద్రవీకృత పెట్రోలియం వాయువు	Gaz de pétrole liquéfié
ఓపెన్	Open
తృప్తి	Satisfaction
చరిత్రలో ఘోర విమాన ప్రమాదాలు	Chronologie de catastrophes aériennes
లీ డి ఫారెస్ట్	Lee De Forest
చిణువు	Pixel
మెహమూద్	Mehmood
ఎడినోకార్సినోమా	Adénocarcinome
భారత నావికా దళం	Marine indienne
ఆదిబుద్ధుడు	Adi Bouddha
ద్వాదశాదిత్యులు	Āditya
ఆదివాసి	Aborigènes de l'Inde
గడ్డపార	Barre à mine
నికొనార్‌ పారా	Nicanor Parra
మౌంట్	Mount
బీచ్ (అయోమయ నివృత్తి)	Beach
డేవిడ్ ఎడ్వర్డ్ హ్యుస్	David Edward Hughes
అడూర్ గోపాలక్రిష్ణన్	Adoor Gopalakrishnan
ఇంటి శతపాదులు	Scutigère véloce
ఈద్ ముబారక్	Aïd Moubarak
డేటా మోడలింగ్	Modélisation des données
మీనన్	Menon (homonymie)
ఆరు ఎ లు	QQOQCCP
నల్ల పసుపు	Curcuma caesia
మినుములు	Haricot urd
బెండ్ ఇట్ లైక్ బెక్హాం	Joue-la comme Beckham
క్షవరం	Rasage
ఇబ్న్ కసీర్	Ibn Kathir
ఘసన్ కనాఫానీ	Ghassan Kanafani
విక్టర్ కేసినోలు	Viktor Kozine
నవంబర్ 2005	Novembre 2005
గురు అంగద్ దేవ్	Guru Angad
ప్యాసింజర్ నేమ్ రికార్డు	Données des dossiers passagers
సంజ్ఞ	Geste
గబూన్ పాము	Vipère du Gabon
ఒరిపిడి పదార్థాలు	Abrasif
రాయ్‌పుర్	Raipur
బహుమనీ సామ్రాజ్యము	Bahmanî
మిత్సుబిషి పజెరో	Mitsubishi Pajero
యోగ్యతా పత్ర ప్రదానం	Certification
చిట్టగాంగ్	Chittagong
కొత్తగా పారిశ్రామికీకరణ చెందుతున్న దేశం	Nouveaux pays industrialisés
పి. చిదంబరం	Palaniappan Chidambaram
సీనాయి పర్వతం	Mont Sinaï
దిలీప్ కుమార్	Dilip Kumar
భగత్ సింగ్	Bhagat Singh
హెచ్.డి.దేవెగౌడ	Haradanahalli Dodde Deve Gowda
బంకించంద్ర ఛటర్జీ	Bankim Chandra Chatterji
మేఘనాధ్ సాహా	Meghnad Saha
ఆవశ్యక కొవ్వు ఆమ్లం	Acide gras essentiel
సుశీల్ కుమార్ సోలంకి	Sushil Kumar
చక్రవర్తి రాజగోపాలాచారి	Chakravarti Rajagopalachari
వట్టివేరు	Chrysopogon zizanioides
సనత్ జయసూర్య	Sanath Jayasuriya
శశి కపూర్	Shashi Kapoor
వాయు నియమాలు	Lois des gaz
ఏకస్వామ్యపు పోటీ	Concurrence monopolistique
ఉస్తాద్ బిస్మిల్లాఖాన్	Bismillah Khan
ముత్తయ్య మురళీధరన్	Muttiah Muralitharan
చిక్కుడు	Haricot (homonymie)
అద్వైత	Adwaita
ఎంటిరోబాక్టీరియేసి	Enterobacteriaceae
బీజకోశం	Ovule (botanique)
వృత్తి చికిత్స	Ergothérapie
భారతదేశంలోని ప్రాచ్య పరిశోధనా సంస్థలు	Adyar Library
మోతీలాల్ నెహ్రూ	Motilal Nehru
బెంటొనైట్	Bentonite
అజీమ్ ప్రేమ్‌జీ	Azim Premji
వాత్స్యాయన మహర్షి	Vâtsyâyana
పశుపతినాథ్	Temple de Pashupatinath
కార్పొరేట్ పాలన	Gouvernement d'entreprise
సేంద్రీయ ఆహారం	Aliment biologique
షణ్ముఖుడు	Kârttikeya
ఫాస్ట్ అండ్ ఫ్యూరియస్	Fast and Furious 4
సంపూర్ణ నాణ్యతా నిర్వహణ	Qualité totale
ప్రతిజ్ఞ	Serment
ధ్యాన్ చంద్	Dhyan Chand
జల్లెడ	Tamis
అనుభవజ్ఞుడు	Expert
ఇస్రా మరియు మేరాజ్	Isra et Miraj
సెమోలినా	Semoule
ఇబ్న్ మాజా	Ibn Maja
క్రిస్ గార్డనర్	Chris Gardner
వికాస్ స్వరూప్	Vikas Swarup
కమల్ హాసన్	Kamal Haasan
ముహమ్మద్ బిన్ తుగ్లక్	Mouhammed ibn Tughlûq
సమాధి	Tombeau (architecture)
ఆవాలు	Moutarde noire
స్కాచ్ విస్కీ	Scotch whisky
శుశృతుడు	Sushruta
దేశాల జాబితా – ఎగుమతుల క్రమంలో	Liste des pays par volume d'exportation
సముద్రపాల	Liane d'argent
విద్యుత్తు ఉత్పత్తి	Production d'électricité
ఇజ్రాయిల్ సంస్కృతి	Culture israélienne
నిర్మాణము	Construction
కురుక్షేత్ర సంగ్రామం	Bataille de Kurukshetra
నేతాజీ సుభాష్ చంద్రబోస్ అంతర్జాతీయ విమానాశ్రయం	Aéroport international Netaji-Subhash-Chandra-Bose
స్వాత్ లోయ	District de Swat
గీత గోవిందం	Gita-Govinda
గుండె రక్తనాళాల వ్యాధి	Maladie cardio-vasculaire
అగస్త్య మహర్షి	Agastya
బుల్లెట్‌ప్రూఫ్ జాకెట్	Gilet pare-balles
దుప్పటి	Drap (literie)
ఆగా ఖాన్	Aga Khan
పొలుసు	Échelle
జైడ్రునాస్ సావికాస్	Žydrūnas Savickas
అగ్ని (దేవుడు)	Agni (dieu)
అగ్ని (అయోమయ నివృత్తి)	Agni
ఇండియన్ ప్రీమియర్ లీగ్	Indian Premier League
తొట్టి	TUB
అహ్మదాబాద్	District d'Ahmedabad
అహ్మద్‌నగర్ జిల్లా	District d'Ahmadnagar
స్లమ్‌డాగ్ మిల్లియనీర్	Millionnaire (homonymie)
ఆపరేషన్ బ్లూస్టార్	Maladie du sirop d'érable
దుంపరాష్ట్రము	Alpinia galanga
కార్గిల్ యుద్ధము	Conflit de Kargil
శరత్ చంద్ర చటోపాధ్యాయ్	Saratchandra Chattopadhayay
బంగారు పతకం	Médaille d'or (sport)
ముంబయి విశ్వవిద్యాలయం	Université de Mumbai
థియోఫిలిన్	Théophylline
ఏయిర్ ఇండియా ఎక్స్ ప్రెస్	Air India Express
లినొలిక్ ఆమ్లం	Acide linoléique
ఖైటోసాన్	Chitosane
మిథైల్ ఆరెంజ్	Hélianthine
డైఇథైల్‌కార్బమజిన్	Diéthylcarbamazine
బెంజిడిన్	Benzidine
ఫెనైటోయిన్	Phénytoïne
ఏంఫోటెరిసిన్ బి	Amphotéricine B
విద్యుత్ లేపనం	Galvanisation
పామిటొలిక్ ఆమ్లం	Acide palmitoléique
అజ్మీర్ జిల్లా	District d'Ajmer
వాము	Ajowan
ఇరూసిక్ ఆమ్లం	Acide érucique
క్లోట్రిమజోల్	Clotrimazole
మోనజైట్	Monazite
డిగాక్సిన్	Digoxine
డాప్సోన్	Dapsone
క్లోరోక్విన్	Chloroquine
జెంటామైసిన్	Gentamicine
లొపినవిర్	Lopinavir
బెహెనిక్ ఆమ్లం	Acide béhénique
కాప్రోయిక్ ఆమ్లం	Acide hexanoïque
ఎంట్రిసిటబిన్	Emtricitabine
డిడనొసిన్	Didanosine
కాప్రిక్ ఆమ్లం	Acide décanoïque
రిటనోవిర్	Ritonavir
లారిక్ ఆమ్లం	Acide dodécanoïque
లామివుడిన్	Lamivudine
లిగ్నోసెరిక్ ఆమ్లం	Acide lignocérique
ఇయోసిన్	Éosine
క్రోమిక్ ఆమ్లం	Acide chromique
ఎఫావిరెంజ్	Éfavirenz
జీవాణుపుంజం (బయోపాలిమర్)	Biopolymère
రిఫాంపిసిన్	Rifampicine
సాక్వినవిర్	Saquinavir
మిరిస్టిక్ ఆమ్లం	Acide tétradécanoïque
నీలిమందు	Indigo (teinture)
ప్రొపియోనిక్ ఆమ్లం	Acide propanoïque
నియోమైసిన్	Néomycine
బిబిసి వరల్డ్ సర్వీస్	BBC World Service
నెల్పినవిర్	Nelfinavir
అటాజనవిర్	Atazanavir
ఉప్పులూరి గోపాలకృష్ణ మూర్తి	U. G. Krishnamurti
స్టావుడిన్	Stavudine
రిసినోలిక్ ఆమ్లం	Acide ricinoléique
అల్ అక్సా మస్జిద్	Mosquée al-Aqsa
ఇండినవిర్	Indinavir
ఛానల్	Channel
ఆంథోని బౌర్డెన్	Anthony Bourdain
సైఫన్	Siphon (tuyau)
పెపె జీన్స్	Pepe Jeans
వంట నూనె	Huile alimentaire
కంప్యూటర్ ఇంజనీరింగ్	Génie informatique
కాకర	Momordica charantia
మస్జిదుల్ హరామ్	Masjid al-Haram
బళ్లారి	Bellary
సాంగ్లీ	Sangli
నూనె యొక్క సపొనిఫికెసను విలువ	Indice de saponification
లక్క	Gomme-laque
కృష్ణాష్టమి	Janmashtami
నల్లపాముల గద్ద	Serpentaire bacha
అలనా ఇవాన్స్	Alana Evans
నికొలో డా కాంటి	Nicolò de' Conti
ఆళ్వారులు	Alvar
ఆల్వార్ జిల్లా	District d'Alwar
చంద్రశేఖర్	Chandrasekhar
గూగుల్ అప్ ఇంజిన్	Google App Engine
అమర్నాథ్	Grottes d'Amarnath
రాయితీ నగదు ప్రవాహం	Actualisation
బుద్ధులు	Vingt-huit bouddhas
అంబాలా	Ambala
అంబర్ కోట	Amber
వెస్ట్‌మిన్‌స్టర్ వంతెన	Westminster Bridge
సవ్యసాచిత్వం	Ambidextrie
హస్తినాపురం	Hastināpur
స్కేల	Scala (langage)
డార్జిలింగ్ హిమాలయన్ రైల్వే	Darjeeling Himalayan Railway
అంతర్జాతీయ జీవవైవిధ్య దినోత్సవం	Journée internationale de la biodiversité
దలేర్ మెహంది	Daler Mehndi
డిసెంబర్ 2005	Décembre 2005
సైనా నెహ్వాల్	Saina Nehwal
అనీ బిసెంట్	Annie Besant
ఈద్-ఉల్-ఫితర్	Aïd el-Fitr
జయ బచ్చన్	Jaya Bachchan
నోర్టెల్	Nortel
ప్రపంచ ఆహార దినోత్సవం	Journée mondiale de l'alimentation
డెస్పెరాడో (చిత్రం)	Desperado (film)
నాన్సీ ఫ్రైడే	Nancy Friday
జయలలిత జయరాం	Jayalalithaa
రుక్మిణీదేవి అరండేల్	Rukmini Devi Arundale
ఫూలన్ దేవి	Phûlan Devî
మమతా బెనర్జీ	Mamata Banerjee
విజయలక్ష్మి పండిట్	Vijaya Lakshmi Pandit
లక్ష్మీ సెహగల్	Lakshmi Sahgal
అంజు బాబీ జార్జ్	Anju Bobby George
తూర్పు కనుమలు	Ghats orientaux
ఎం.ఎస్. సుబ్బలక్ష్మి	M. S. Subbulakshmi
మాతా అమృతానందమయి	Mata Amritanandamayi
రజియా సుల్తానా	Sultan Razia
అమెరికన్ ఇన్స్టిట్యూట్ ఆఫ్ ఏరోనాటిక్స్ అండ్ ఏస్ట్రోనాటిక్స్	American Institute of Aeronautics and Astronautics
జుంపా లహరి	Jhumpa Lahiri
అనుష్క శర్మ	Anushka Sharma
రేఖ	Rekha
షబానా అజ్మీ	Shabana Azmi
దియా మిర్జా	Diya Mirza
రీబాక్	Reebok
మీరాబాయి	Mirabaï
అమెరికన్ సైకో	American Psycho (roman)
హొయసల సామ్రాజ్యం	Hoysala
పల్లవ	Dynastie des Pallava
రామన్ ఎఫెక్ట్	Diffusion Raman
అమెరికన్ సొసైటీ ఆఫ్ మెకానికల్ ఇంజనీర్స్	American Society of Mechanical Engineers
కిరణ్ మజుందార్-షా	Kiran Mazumdar-Shaw
కరణం మల్లేశ్వరి	Karnam Malleswari
ప్రతిభ	Surdoué
మీర్ ఉస్మాన్ అలీ ఖాన్	Fateh Jang `Othman `Alî Khân Asaf Jâh VII
లాల్ కృష్ణ అద్వానీ	Lal Krishna Advani
జె.ఆర్.డి.టాటా	Jehangir Ratanji Dadabhai Tata
గుల్జార్	Gulzar
తుకారాం	Toukaram
ధీరుభాయ్ అంబానీ	Dhirubhai Ambani
శ్రీ శ్రీ రవి శంకర్	Ravi Shankar (guru)
రక్తపుగడ్డ	Hématome
శివ లింగము	Lingam
గుడ్లగూబ కోతి	Douroucouli
తాన్‌సేన్	Tansen
మురళీధర్ దేవదాస్ ఆమ్టే	Baba Amte
ఆసిన్	Asin Thottumkal
గీతా దత్	Geeta Dutt
అంతర్జాతీయ స్త్రీ హింసా వ్యతిరేక దినము	Journée internationale pour l'élimination de la violence à l'égard des femmes
బెణుకు	Entorse (médecine)
రాహుల్ ద్రవిడ్	Rahul Dravid
మహేంద్రసింగ్ ధోని	Mahendra Singh Dhoni
విజయేందర్ సింగ్	Vijender Singh
మొదటి భాస్కరుడు	Bhāskara I
సల్మాన్ అమిన్ ఖాన్	Salman Khan (éducateur)
కిషోర్ కుమార్	Kishore Kumar
అసాధారణ పరిస్థితి నిర్వహణ	Système de gestion d'exceptions
మొగిలి	Pandanus
దేశాల జాబితా – తలసరి బీరు వినియోగం	Consommation annuelle de bière par habitant par pays
రికీ పాంటింగ్	Ricky Ponting
సీతాఫలం	Annona reticulata
ప్రపంచ ఆర్థిక వ్యవస్థ	Économie mondiale
ది క్రానికల్స్ ఆఫ్ నార్నియా: ది వాయేజ్ ఆఫ్ ది డాన్ ట్రీడెర్	Le Monde de Narnia : L'Odyssée du Passeur d'Aurore
దాహము	Soif
సంతులిత ఆహారం (పోషకాహారం)	Régime alimentaire
పద్మాసనము	Position du lotus
నౌకానిర్మాణం	Construction navale
ప్రపంచ ఆరోగ్య దినం	Journée mondiale de la santé
కూర్మావతారము	Kûrma
కల్క్యావతారము	Kalkî
పల్లకి	Palanquin
విశ్వకర్మ	Vishvakarma
భారత రాజ్యాంగం	Constitution de l'Inde
చిత్రము	Image
పాశ్చాత్య సంస్కృతి	Société occidentale
ఏమీ ఆడమ్స్	Amy Adams
షరియా	Charia
గజము (పొడవు)	Verge (unité)
పారాచూట్	Parachute
వెన్నెముక	Colonne vertébrale
బ్రయాన్ ఆడమ్స్	Bryan Adams
శామ్‌సంగ్ గాలక్సీ Y	Samsung Galaxy Y
విండోస్ 98	Windows 98
వికీమానియా	Wikimania
ది క్రానికల్స్ ఆఫ్ నార్నియా	Le Monde de Narnia
రియో ఫెర్డినాండ్	Rio Ferdinand
ఆసియా క్రీడలు	Jeux asiatiques
కళాకారుడు	Artiste
వాల్-మార్ట్	Walmart
అలన్ షేరర్	Alan Shearer
క్లౌడ్ కంప్యూటింగ్	Cloud computing
సున్నీ ఇస్లాం	Sunnisme
సత్య సాయి బాబా	Sathya Sai Baba
షిండ్లర్స్ లిస్ట్	La Liste de Schindler
పేపాల్	PayPal
ముహమ్మద్ ఇక్బాల్	Mohamed Iqbal
ఫిఖహ్	Jurisprudence islamique
అలిస్ ఇన్ చెయిన్స్	Alice in Chains
గురువు	Guru (maître spirituel)
నాయకత్వం	Leadership
ఉపరితలం	Surface (géométrie)
కులం	Caste
పెసలు	Haricot mungo
బమియాన్ బుద్ధ విగ్రహాలు	Bouddhas de Bâmiyân
ఇ-కామర్స్	Commerce électronique
వాసన	Odeur
సినిమాస్కోప్	CinemaScope
ఔరంగజేబు	Aurangzeb
రెడ్ హ్యాట్	Red Hat
వికీమీడియా కామన్స్	Gestion de la relation client
ఆనంద్(గుజరాత్)	District d'Anand
క్షారం	Alcali
చికెన్ పులావ్	Riz pilaf
పొడవైన నదుల జాబితా	Liste des plus longs cours d'eau
మస్జిదె నబవి	Masjid al-Nabawi
హుమాయూన్	Humayun
ఇస్లామోఫోబియా	Islamophobie
కేంబ్రిడ్జ్ డ్యూక్ ప్రిన్స్ విలియమ్స్ మరియు కేథరీన్ మిడిల్టన్ ల వివాహం	Mariage du prince William et de Catherine Middleton
పార్లమెంటు సభ్యుడు	Member of Parliament
ప్రైస్‌వాటర్‌హౌస్‌కూపర్స్	PricewaterhouseCoopers
నీలి చిత్రాల నటులు	Acteur de films pornographiques
మ్యాక్‌బుక్ ఎయిర్	MacBook Air
ఎర్నెస్ట్	EY (Ernst & Young)
ఏడు పురాతన ప్రపంచ అద్భుతాలు	Sept merveilles du monde
ఇజ్రాయీల్	Azraël
చిక్-ఫిల్ ఎ	Chick-fil-A
సమోసా	Samoussa
డెలాయిట్	Deloitte Touche Tohmatsu
రజస్వల	Ménarche
వైద్య కళాశాల	Faculté de médecine
వజ్ర సూత్రం	Sūtra du Diamant
ప్రత్యేక ఆర్థిక మండలి	Zone économique spéciale
శామ్‌సంగ్ గాలక్సీ ఏస్	Samsung Galaxy Ace
పశ్చాత్తాపం	Repentance
దాగలి	Enclume (os)
పుష్పక విమానము	Vimana
నోకియా 1100	Nokia 1100
అలసంద	Vigna unguiculata
చరాస్తి	Propriété personnelle
కర్ణాంతరాస్థి	Étrier (os)
పరిమార్జన్ నేగి	Parimarjan Negi
లోగానియేసి	Loganiaceae
కంపెనీ ఆఫ్ హీరోస్	Company of Heroes
తాటి ముంజలు	Palmier de Palmyre
సార్కాప్టిస్ స్కేబీ	Sarcopte
కాలింపాంగ్	Kalimpong
మధ్య చెవి	Oreille moyenne
రిషికేశ్	Rishikesh
జానీ వాకర్	Johnnie Walker
చెన్నై అంతర్జాతీయ విమానాశ్రయం	Aéroport international de Chennai
మృదులాస్థి	Cartilage
అ	Voyelle pré-ouverte centrale
కెంపెగౌడ అంతర్జాతీయ విమానాశ్రయం	Aéroport international Kempegowda
