आफ्रिकाखण्डः	Afrique
हरदोयीमण्डलम्	District d'Hardoi
पूर्वसिक्किममण्डलम्	District du Sikkim oriental
साबरकाठामण्डलम्	Sabarkantha
गान्धीनगरमण्डलम्	District de Gandhinagar
लखनौमण्डलम्	District de Lucknow
मथुरामण्डलम्	District de Mathura
इलाहाबादमण्डलम्	District d'Allahabad
एटामण्डलम्	District d'Etah
उत्तरकाशीमण्डलम्	District d'Uttarkashi
गाझियाबादमण्डलम्, भारतम्	District de Ghaziabad
पञ्चमहालमण्डलम्	District de Panchmahal
उत्तरसिक्किममण्डलम्	District du Sikkim septentrional
कोवलम्	Kovalam
गौतमबुद्धनगरमण्डलम्	District de Gautam Buddha Nagar
यादगिरिमण्डलम्	District de Yadgir
धारवाडमण्डलम्	District de Dharwad
नर्मदामण्डलम्	District de Narmada
सोलापुरमण्डलम्	District de Solapur
नाशिकमण्डलम्	District de Nashik
चन्द्रपुरमण्डलम्	District de Chandrapur
जळगावमण्डलम्	District de Jalgaon
नैनितालमण्डलम्	District de Nainital
कोल्हापुरमण्डलम्	District de Kolhapur
सुरतमण्डलम्	District de Surat
सहारनपुरमण्डलम्	District de Saharanpur
पुणेमण्डलम्	District de Pune
जुनागढमण्डलम्	District de Junagadh
नवसारीमण्डलम्	District de Navsari
बागपतमण्डलम्	District de Baghpat
नागपुरमण्डलम्	District de Nagpur
चमोलीमण्डलम्	District de Chamoli
बरेलीमण्डलम्	District de Bareli
धुळेमण्डलम्	District de Dhule
परभणीमण्डलम्	District de Parbhani
आणन्द	Anand (ville)
गडचिरोलीमण्डलम्	District de Gadchiroli
यवतमाळमण्डलम्	District d'Yavatmal
वाशिममण्डलम्	District de Washim
जालनामण्डलम्	District de Jalna
दक्षिण सिक्किम् मण्डलः	District du Sikkim méridional
औरैयामण्डलम्	District d'Auraiya
सीतापुरमण्डलम्	District de Sitapur
बहरैचमण्डलम्	District de Bahraich
शाहजहानपुरमण्डलम्	District de Shahjahanpur
भण्डारामण्डलम्	District de Bhandara
फैजाबादमण्डलम्	District de Faizabad
महामायानगरमण्डलम्	District d'Hathras
राजकोटमण्डलम्	District de Rajkot
बदांयूमण्डलम्	District de Badaun
पाटणमण्डलम्	District de Patan
इटावामण्डलम्	District d'Etawah
महोबामण्डलम्	District de Mahoba
रामपुरमण्डलम्	District de Rampur
सिद्धार्थनगरमण्डलम्	District de Sidhartha Nagar
मैनपुरीमण्डलम्	District de Mainpuri
पूगफलम्	Noix d'arec
पुरी मण्डलम्	District de Puri
कुशीनगरमण्डलम्	District de Kushinagar
गान्धारी	Gāndhārī (hindouisme)
हेलियोदर स्तम्भः	Pilier d'Héliodoros
दावणगेरेमण्डलम्	District de Davanagere
अम्रोहामण्डलम्	District d'Amroha
मण्डीमण्डलम्	District de Mandi
फर्रुकाबादमण्डलम्	District de Farrukhabad
पङ्कज आडवाणी	Pankaj Advani
मयूर्भंझ् मण्डलम्	District de Mayurbhanj
गोन्दियामण्डलम्	District de Gondiya
शिमलामण्डलम्	District de Shimla
गोण्डामण्डलम्	District de Gonda
बिजनौरमण्डलम्	District de Bijnor
उन्नावमण्डलम्	District d'Unnao
झान्सीमण्डलम्	District de Jhansi
पूर्व खासिहिल्स्	District des East Khasi Hills
सन्तकबीरनगरमण्डलम्	District de Sant Kabir Nagar
श्रावस्तीमण्डलम्	District de Shravasti
वलसाडमण्डलम्	District de Valsad
फतेहपुरमण्डलम्	District de Fatehpur
कौशाम्बीमण्डलम्	District de Kaushambi
फिरोझाबादमण्डलम्	District de Firozabad
ऐजोलमण्डलम्	District d'Aizawl
ललितपुरमण्डलम्	District de Lalitpur (Uttar Pradesh)
बलरामपुरमण्डलम्	District de Balrampur
ढॆण्कनाल् मण्डलम्	District de Dhenkanal
लातूरमण्डलम्	District de Latur
शृङ्गेरी	Shringeri
२०१३	Décès en 2013
ओणम्	Onam
करञ्जवृक्षः	Millettia pinnata
स्तोत्रकाव्यम्	Stotra
घटोत्कचः	Ghathotkacha
नकुलः	Nakula
भरतः(रामायणम्)	Bharata (Ramayana)
वर्गः:हिन्दुधर्मः	Catégorie:Hindouisme
कुम्भकर्णः	Kumbhakarna
गुप्तलिपिः	Écriture gupta
शकुनिः	Shakuni
'भारतं त्यजन्तु' आन्दोलनम्	Quit India
निर्मल वर्मा	Nirmal Verma
दशरथः	Dasharatha
विदुरः	Vidura
ओडिशी	Odissi
उत्तराखण्डस्य मण्डलानि	Liste des districts de l'Uttarakhand
गुरु तेगबहादुर	Guru Tegh Bahadur
रायगडमण्डलम्(महाराष्ट्रम्)	District de Raigad
महेसाणामण्डलम्	District de Mehsana
हमीरपुरमण्डलम्, उत्तरप्रदेशः	District d'Hamirpur
उत्तरदिनाजपुर-मण्डलम्	District du Dinajpur septentrional
खटक् मण्डलम्	District de Cuttack
बालेश्वर् मण्डलम्	District de Baleswar
गुना	Guna (ville)
सहदेवः	Sahadeva
रघुवंशम्	Raghuvaṃśa
कैकेयी	Kaikeyi
शारदालिपिः	Alphasyllabaire sharda
मार्कण्डेयपुराणम्	Markandeya Purana
निरुक्तम्	Nirukta
श्रेया घोषाल्	Shreya Ghoshal
दक्षिणदेहलीमण्डलम्	Sud de Delhi
शाहजहानपुरम्	Shahjahanpur
निष्क्रमणसंस्कारः	Nishkramana
जातकर्मसंस्कारः	Jatakarman
सीमन्तोन्नयनसंस्कारः	Simantonnayana
ग्वालियरमण्डलम्	District de Gwalior
मुम्बई-उपनगर-मण्डलम्	District de Mumbai-banlieue
सागरमण्डलम्	District de Sagar
केन्दुझर् मण्डलम्	District de Kendujhar
हमीररपुरमण्डलम्, हिमाचलप्रदेशः	District de Hamirpur (Himachal Pradesh)
धलाइमण्डलम्	District de Dhalai
महेश् बाबु	Mahesh Babu
हिङ्गोलीमण्डलम्	District d'Hingoli
अमरावती (आन्ध्रप्रदेशः)	Amaravati
जाजपुर मण्डलम्	District de Jajpur
नेकचन्दः	Nek Chand
कलकातामण्डलम्	District de Kolkata
जालौनमण्डलम्	District de Jalaun
चित्रकूटमण्डलम्	District de Chitrakoot
कानपुरनगरमण्डलम्	District de Kanpur Nagar
कंसः	Kamsa
सरदारसरोवरजलबन्धः	Barrage de Sardar Sarovar
यानम् मण्डलम्	District de Yanam
बडवानीमण्डलम्	District de Barwani
बान्दामण्डलम्	District de Banda
मङ्गलयानम्	Mars Orbiter Mission
तिरुक्कुरळ्	Tirukkuṟaḷ
धनूराशिः	Sagittaire (astrologie)
उत्तरप्रदेशस्य मण्डलानि	Liste des districts de l'Uttar Pradesh
गोधूमपिष्टम्	Farine de blé
संस्कृतस्य प्रयोजनम्	Diablotin
बुद्धचरितम्	Bouddha-Charita
किन्नौरमण्डलम्	District de Kinnaur
सुन्दरगर् मण्डलम्	District de Sundergarh
कुमाऊंविभागः	Division de Kumaon
उनामण्डलम्	District de Una
बारामण्डलम्	District de Baran
चित्रकूटधाम (कार्वी)	Chitrakoot Dham
वल्लभाचार्यः	Vallabha
अद्वैतवेदान्तः	Advaïta védanta
मन्वन्तरम्	Manvantara
पुरुषार्थः	Purushartha
अर्थः	Artha
भगिनी निवेदिता	Sœur Nivedita
गदगमण्डलम्	District de Gadag
न्यायसूत्राणि	Nyaya Sutra
बौद मण्डलम्	District de Boudh
मुजफ्फरनगरम्	District de Muzaffarnagar
मुकेशः	Mukesh
मुदुमलै अभयारण्यम्	Parc national de Mudumalai
दक्षिणदिबाङ्गव्यालीमण्डलम्	District de la vallée du bas Dibang
दक्षिणपश्चिमदेहलीमण्डलम्	Sud-Ouest de Delhi
कर्णाटकस्य मण्डलानि	Liste des districts du Karnataka
निम्बार्काचार्यः	Nimbarka
सम्पातिः	Sampati
नेपाल: भूगोल	Géographie du Népal
मधुपाकफलम्	Citrus limetta
भगीरथः	Bhagiratha
वाक्तत्त्वम्	Vach
तृश्शूरमण्डलम्	Thrissur (district)
तमिळ्नाडुराज्यस्य मण्डलानि	Liste des districts du Tamil Nadu
छतरपुरमण्डलम्	District de Chhatarpur
गुजरातराज्यस्य मण्डलानि	Liste des districts du Gujarat
राजस्थानस्य मण्डलानि	Liste des districts du Rajasthan
श्वेताश्वतरोपनिषत्	Shvetashvatara Upanishad
वैशाखी पर्व	Baisakhi
असमराज्यस्य मण्डलानि	Liste des districts de l'Assam
अरुणाचलप्रदेशस्य मण्डलानि	Liste des districts de l'Arunachal Pradesh
सौबल	Gymnastique suédoise
तिरुनल्लूर करुणाकरन्	Thirunalloor Karunakaran
श्रावस्ती	Sāvatthī
कोलारमण्डलम्	District de Kolar
भानुभक्त आचार्य	Bhanubhakta
इरुळजनाङ्गः	Irular (peuple)
वेदान्तः	Védanta
मोढेरा सूर्यमन्दिरम्	Temple de Sūrya (Modhera)
सारिस्का मृगधाम	Parc national de Sariska
लोनार् क्रेटर्	Cratère de Lonar
चूडाकर्मसंस्कारः	Chudakarana
अन्नप्राशनसंस्कारः	Annaprashana
नामकरणसंस्कारः	Namakarana
समावर्तनसंस्कारः	Samavartana
ब्रह्मरन्ध्रम्	Sahasrara
बान्दा, उत्तरप्रदेशः	Banda (Inde)
भविष्यपुराणम्	Bhavishya Purana
संस्कृतविकिपीडिया	Wikipédia en sanskrit
पुंसवनसंस्कारः	Pumsavana
शिक्षा	Shiksha
बन्नेरुघट्ट-राष्ट्रिय उद्यानम्	Parc national de Bannerghatta
बिहारराज्यस्य मण्डलानि	Liste des districts du Bihar
नामदेव	Namdev
सुरेन्द्रनगरम्	Surendranagar
गुल्बर्गामण्डलम्	District de Gulbarga
वेम्बनाड् सरोवरम्	Lac Vembanad
अन्त्येष्टिसंस्कारः	Antyeshti
लल्लेश्वरी	Lalleshvari
कलशः	Kalasha (jaïnisme)
गुरु रामानन्द	Ramanand
गर्भाधानसंस्कारः	Garbhadhana
जम्मूकाश्मीरराज्यस्य मण्डलानि	Liste des districts du Jammu-et-Cachemire
बीरबल साहनी	Birbal Sahni
विकिपीडिया:वैज्ञानिक-शब्दावलिः/F	Pramana
सिक्खगुरवः	Gurus du sikhisme
अर्जुनवृक्षः	Terminalia arjuna
इळैयराजा	Ilayaraja
किरण बेदी	Kiran Bedi
अभिनन्दनः	Abhinandannath
उपनयनसंस्कारः	Upanayana
वैशाखमासः	Baisakh
चरकसंहिता	Charaka Samhita
भारतस्य निर्वाचनायोगः	Commission électorale indienne
जगद्गुरुरामभद्राचार्यविकलाङ्गविश्वविद्यालयः	Université Jagadguru Rambhadracharya pour les handicapés
नेपाल स्काउट	Scouts du Népal
सुमतिनाथः	Sumatinath
जाती	Muscadier
कुङ्कुमम्	Safran (couleur)
विद्यारण्य	Vidyaranya
कोचबिहारमण्डलम्	Cooch Behar
गार्गी	Gargi
हेमन्तकुमार	Hemant Kumar
चन्दौलीमण्डलम्	District de Chandauli
मुलायम् सिंह यादव्	Mulayam Singh Yadav
चण्डी	Temples d'Indonésie
महेन्द्र कपूर	Mahendra Kapoor
क्रिकेट्क्रीडानियमाः	Lois du cricket
सुमित्रा	Vichnou-Sarma
रणजीत सिंह	Ranji
जैमिनिः	Jaimini
तिलः	Sésame
भारतसर्वकारः	Gouvernement indien
भारतीयजीवविमानिगमः	Life Insurance Corporation of India
मण्ड्यमण्डलम्	District de Mandya
लिंकन्	Lincoln (Buenos Aires)
मल्लिनाथः (तीर्थङ्करः)	Mallinath
अनिलकुम्बले	Anil Kumble
अरविन्द गौड़	Arvind Gaur
अष्टाध्यायी	Ashtadhyayi
बालमुरलीकृष्णः	Balamuralikrishna
भजगोविन्दम्	Bhaja Govindam
भट्टोजिदीक्षितः	Bhaṭṭoji Dīkṣita
विधानचन्द्र राय	Bidhan Chandra Roy
डा सलिम अलि	Sálim Ali
औष्ण्यमालिन्यम्	Pollution thermique
वर्गः:महाद्वीपः	Catégorie:Continent
पीलीभीतमण्डलम्	District de Pilibhit
कुलुमण्डलम्	District de Kullu
सोलन् मण्डलम्	District de Solan
जामनगरमण्डलम्	District de Jamnagar
निष्पावप्रभेदः	Haricot vert
साम्प्रदायिकहिंसा	Conflits intercommunautaires en Inde
प्रबुद्धनगरमण्डलम्	District de Shamli
पञ्चशीलनगरमण्डलम्	District de Sambhal
कर्णाटकस्य सागरतीराणि	Côte de Kanara
अनंतनाथः	Anantnath
देवेन्द्रनाथ ठाकुर	Debendranath Tagore
द्वैतदर्शनम्	Dvaita
ऋष्यशृङ्गः	Ekasringa
भारतीयराष्ट्रियविधिविश्वविद्यालयः	École nationale de droit de l'université de l'Inde
पद्मश्रीपुरस्काराः (१९८०-१९८९)	Padma Shri (1980–1989)
पद्मश्री - पुरस्कारः(१९९०-१९९९)	Padma Shri (1990–1999)
पद्मश्री - पुरस्कारः(१९५४-१९५९)	Padma Shri (1954–1959)
पद्मश्री - पुरस्कारः(१९६०-१९६९)	Padma Shri (1960–1969)
पद्मश्रीपुरस्काराः (१९७०-१९७९)	Padma Shri (1970–1979)
पद्मश्रीपुरस्काराः (२०००-२००९)	Padma Shri (2000–2009)
भारतीयकालमानः	Mesure védique du temps
भारतीयसाङ्ख्यिकी संस्था	Institut indien de statistiques
गुण्टूरुमण्डलम्	Guntur (Inde)
परेश रावल	Paresh Rawal
प्राचीनभौतशास्त्रम्	Sciences indiennes
वाग्भटः	Vagbhata
प्रभास्	Prabhas Raju Uppalapati
महाराष्ट्रनवनिर्माणसेना	Maharashtra Navnirman Sena
राष्ट्रियजनतादलम्	Rashtriya Janata Dal
फलकम्:Solar System	Modèle:Palette Système solaire
शिवराज सिंह चौहान	Shivraj Singh Chauhan
विकिपीडिया:लेखशीर्षकः	Wikipédia:Conventions sur les titres
महाराष्ट्रस्य मण्डलानि	Liste des districts du Maharashtra
आन्ध्रप्रदेशस्य मण्डलानाम् आवलिः	Liste des districts de l'Andhra Pradesh
पी टी उषा	P. T. Usha
माण्डोर	Mandore (Rajasthan)
मौण्ट् अबु अभयारण्यम्	Mount Abu Wildlife Sanctuary
बिलियर्ड्स्-क्रीडा	Billard
भट्ट्नारायणः	Nārāyaṇa Bhaṭṭa
युगादिः	Ugadi
राहुल देव बर्मन	Rahul Dev Burman
केन्द्रीयविश्वविद्यालयाः	Université centrale indienne
अजितनाथः	Ajitnath
मैक्रोनीशिया	Micronésie (région)
शिरः	Tête (anatomie humaine)
कैलाश सत्यार्थी	Kailash Satyarthi
गृहस्थाश्रमः	Grihastha
वानप्रस्थाश्रमः	Vānaprastha
अक्कमहादेवी	Mahadeviyakka
मल्लिका साराभाय्	Mallika Sarabhai
आर्यभटीयम्	Āryabhaṭīya
शत्रुघ्नः	Shatrughna
राज्यपालः	Gouverneur (Inde)
विशिष्टाद्वैतवेदान्तः	Vishishtâdvaita
फलकम्:Location map India Kerala	Modèle:Géolocalisation/Kerala
फलकम्:Location map India Punjab	Modèle:Géolocalisation/Penjab (Inde)
फलकम्:Location map India West Bengal	Modèle:Géolocalisation/Bengale-Occidental
अरुण जेटली	Arun Jaitley
त्रिभुवन विजयतुंगदेवी	Tribhuwana Wijayatunggadewi
बृहत्कथा	Brihatkatha
बिजापुरम्	Bijapur
भीमः	Bhima
वासुपूज्यः	Vasupujya
बाराबङ्की	Barabanki
Chanakya	Catastrophe
मयूरः	Pavo
वर्गः:देश	Catégorie:Pays
विकिपीडिया:प्रबंधक	Wikipédia:Administrateur
विकिपीडियासम्भाषणम्:प्रबन्धकः	Wikipédia:Candidature au statut d'administrateur
वर्गः:AutoWikiBrowser	Wikipédia:AutoWikiBrowser
ईजिप्तदेशः	Égypte
रवीन्द्रप्रभात:	Ravindra Prabhat
केशान्तसंस्कारः	Keshanta
फलकम्:Bot	Modèle:Bot
केनडा	Canada
वर्गः:निर्वाचित लेख	Catégorie:Article de qualité
वाली	Vali (Ramayana)
वर्गः:युरोपखण्डः	Catégorie:Europe
फलकम्:Documentation	Modèle:Documentation
वर्गः:Delete	Catégorie:Wikipédia:Suppression
विकिपीडिया:स्तम्भपञ्चकम्	Wikipédia:Principes fondateurs
विकिपीडिया:उल्लेख्यता	Wikipédia:Notoriété
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Wikipédia:Boîte Utilisateur
सङ जेगी	Sung Jae-ki
जानकी अम्माल्	Janaki Ammal
फलकम्:Softredirect	Modèle:Redirection douce
फलकम्:अपाक्रियताम्	Modèle:Suppression Immédiate
वर्गः:विकिपीडिया	Catégorie:Wikipédia
विकिपीडिया:General disclaimer	Wikipédia:Avertissements généraux
विकिपीडिया:शैलीपुस्तकम्	Wikipédia:Conventions de style
फलकम्:Navbox	Modèle:Méta palette de navigation
कङ्गारू	Kangourou
गहनचिकित्साविभागः	Unité de soins intensifs
विकिपीडिया:प्रमुखं चित्रम्	Wikipédia:Images de qualité
फलकम्:Citation needed	Modèle:Citation nécessaire
बुद्धपूर्णिमा	Anniversaire de Bouddha
फलकम्:Error	Modèle:Error
फलकम्:!	Modèle:!
फलकम्:Tnavbar	Modèle:Tnavbar
फलकम्:Code	Modèle:Code
फलकम्:Sc	Modèle:Petites capitales
फलकम्:Clear	Modèle:Clr
फलकम्:Col-break	Modèle:Col-break
फलकम्:Col-begin	Modèle:Col-début
फलकम्:Col-end	Modèle:Col-fin
फलकम्:Nowrap	Modèle:Nobr
विकिपीडिया:प्रारम्भिक-विषयाः	Wikipédia:Articles vitaux
फलकम्:Wikisource	Modèle:Wikisource
फलकम्:Babel	Modèle:Boîte Babel
फलकम्:Commons	Modèle:Commons
फलकम्:Reflist	Modèle:Références
फलकम्:अपूर्णलेखः	Modèle:Ébauche
फलकम्:User az	Modèle:Utilisateur az
फलकम्:See also	Modèle:Article connexe
फलकम्:User da	Modèle:Utilisateur da
फलकम्:User de	Modèle:Utilisateur de
फलकम्:User de-1	Modèle:Utilisateur de-1
फलकम्:User eu	Modèle:Utilisateur eu
फलकम्:User el	Modèle:Utilisateur el
फलकम्:User es	Modèle:Utilisateur es
फलकम्:User en-3	Modèle:Utilisateur en-3
फलकम्:User en-1	Modèle:Utilisateur en-1
फलकम्:User en-2	Modèle:Utilisateur en-2
फलकम्:User en-4	Modèle:Utilisateur en-4
फलकम्:User fi	Modèle:Utilisateur fi
फलकम्:User en	Modèle:Utilisateur en
फलकम्:User fr-1	Modèle:Utilisateur fr-1
फलकम्:User hi-1	Modèle:Utilisateur hi-1
फलकम्:User hr	Modèle:Utilisateur hr
फलकम्:User hu	Modèle:Utilisateur hu
फलकम्:User ja	Modèle:Utilisateur ja
फलकम्:User fr	Modèle:Utilisateur fr
फलकम्:Mod	Modèle:Mod
फलकम्:NowCommons	Modèle:Image sur Commons
फलकम्:Infobox language/codelist	Modèle:Lien ISO 639-3
फलकम्:User it	Modèle:Utilisateur it
फलकम्:User uk	Modèle:Utilisateur uk
फलकम्:स्वागतम्	Modèle:Bienvenue nouveau
फलकम्:भ्रातृपरियोजनाः	Modèle:Projets Wikimedia
फलकम्:Country data Belgium	Modèle:Country data Belgique
फलकम्:आङ्ग्लमासस्य शीर्षम्	Modèle:Palette Mois
फलकम्:Navy/core	Modèle:Marine de guerre/callback
फलकम्:Country data Czech Republic	Modèle:Country data République tchèque
फलकम्:राष्ट्रतथ्यानि थाइलैंड	Modèle:Country data Thaïlande
फलकम्:Country data Indonesia	Modèle:Country data Indonésie
फलकम्:Country data British Empire	Modèle:Country data Empire britannique
फलकम्:Edit	Modèle:Éditer
फलकम्:आङ्ग्लमासाः	Modèle:Palette Éphéméride
फलकम्:Country data Denmark	Modèle:Country data Danemark
फलकम्:राष्ट्रतथ्यानि पोलैंड	Modèle:Country data Pologne
फलकम्:Wikivar	Modèle:Wikivar
फलकम्:राष्ट्रतथ्यानि नार्वे	Modèle:Country data Norvège
फलकम्:Country data RSA	Modèle:Country data Afrique du Sud
फलकम्:Country showdata	Modèle:Country showdata
फलकम्:Official	Modèle:Site officiel
फलकम्:Country data Sri Lanka	Modèle:Country data Sri Lanka
फलकम्:Air force	Modèle:Armée de l'air
फलकम्:अफ्रीकाखण्डः	Modèle:Palette Pays d'Afrique
फलकम्:Infobox writer	Modèle:Infobox Écrivain
फलकम्:Country data United Arab Emirates	Modèle:Country data Émirats arabes unis
फलकम्:Geographic Location	Modèle:Localisation ville
फलकम्:Infobox musical artist	Modèle:Infobox Musique (artiste)
फलकम्:Country data AUS	Modèle:Country data Australie
फलकम्:Infobox football biography	Modèle:Infobox Footballeur
फलकम्:Wait	Modèle:En cours
फलकम्:Dubious	Modèle:Douteux
फलकम्:देश	Modèle:Infobox Pays
फलकम्:Infobox software	Modèle:Infobox Logiciel
फलकम्:Infobox Airline	Modèle:Infobox Compagnie aérienne
फलकम्:Wide image	Modèle:Image panoramique
फलकम्:Country data Austria	Modèle:Country data Autriche
फलकम्:Infobox military conflict	Modèle:Infobox Conflit militaire
फलकम्:Str left	Modèle:Str left
फलकम्:Country data Nepal	Modèle:Country data Népal
फलकम्:Country data Finland	Modèle:Country data Finlande
फलकम्:Audio	Modèle:Prononciation
फलकम्:Country data Egypt	Modèle:Country data Égypte
फलकम्:Country data Lithuania	Modèle:Country data Lituanie
फलकम्:Infobox Indian political party	Modèle:Infobox Parti politique
फलकम्:Country data Japan	Modèle:Country data Japon
फलकम्:S-start	Modèle:S-start
फलकम्:Age in years and days	Modèle:Âge en années et jours
फलकम्:Nom	Modèle:Nom
फलकम्:Cleanup	Modèle:À recycler
फलकम्:Infobox scientist	Modèle:Infobox Scientifique
फलकम्:Country data Czechoslovakia	Modèle:Country data Tchécoslovaquie
फलकम्:Country data Vietnam	Modèle:Country data Viêt Nam
फलकम्:S-aft	Modèle:S-aft
फलकम्:Featured article	Modèle:Article de qualité
फलकम्:Country data Russia	Modèle:Country data Russie
फलकम्:Infobox monarch	Modèle:Infobox Panchen Lama
फलकम्:Infobox award	Modèle:Infobox Récompense
वर्गः:User en-2	Catégorie:Utilisateur en-2
फलकम्:Navy	Modèle:Marine de guerre
फलकम्:User zh	Modèle:Utilisateur zh
फलकम्:Sp	Modèle:Espace
फलकम्:Template other	Modèle:Template other
फलकम्:Cite web	Modèle:Lien web
वर्गः:जीवचरितम्	Catégorie:Biographie
फलकम्:Imdb title	Modèle:Imdb titre
फलकम्:Country data	Modèle:Country data
फलकम्:Won	Modèle:Lauréat
फलकम्:Coor URL	Modèle:Coord/URL
फलकम्:Notice	Modèle:Notice
फलकम्:Pp-template	Modèle:Protection
फलकम्:विकिकोशः	Modèle:Wiktionnaire
फलकम्:Infobox music festival	Modèle:Infobox Musique (festival)
शतवेधी	Cymbopogon
फलकम्:User ru	Modèle:Utilisateur ru
फलकम्:IPA	Modèle:Prononciation API
फलकम्:Country data Soviet Union	Modèle:Country data Union soviétique
फलकम्:राष्ट्रतथ्यानि भारतम्	Modèle:Country data Inde
फलकम्:Category redirect	Modèle:Catégorie redirigée
फलकम्:Infobox Officeholder	Modèle:Infobox Politicien
फलकम्:Sisterlinks	Modèle:Autres projets
फलकम्:Infobox protected area	Modèle:Infobox Aire protégée
फलकम्:Border	Modèle:Bordure
फलकम्:Death date and age	Modèle:Date de décès
फलकम्:MONTHNUMBER	Modèle:MONTHNUMBER
फलकम्:Topicon	Modèle:Icône de titre
वर्गः:राष्ट्रतथ्यानि फलकानि	Catégorie:Modèle Country data
फलकम्:Country data China	Modèle:Country data Chine
फलकम्:Country data Cyprus	Modèle:Country data Chypre
फलकम्:Army	Modèle:Armée de terre
फलकम्:Country data Malaysia	Modèle:Country data Malaisie
फलकम्:Country data Taiwan	Modèle:Country data Taïwan
फलकम्:Infobox book	Modèle:Infobox Livre
फलकम्:Talkback	Modèle:Réponse
फलकम्:Infobox planet	Modèle:Infobox Planète
फलकम्:ICD10	Modèle:ICD10
फलकम्:Infobox विकिपीडिया	Modèle:Infobox Site web
फलकम्:Coor title dms	Modèle:Coordonnées
फलकम्:Infobox Indian jurisdiction	Modèle:Infobox District indien
फलकम्:Infobox anatomy	Modèle:Infobox Anatomie
फलकम्:प्रलेखनस्य उपपृष्ठम्	Modèle:Sous-page de documentation
फलकम्:Infobox Galaxy	Modèle:Infobox Galaxie
फलकम्:Infobox number	Modèle:Infobox Nombre
फलकम्:भारतस्य राज्यानि केन्द्रशासितप्रदेशाः च	Modèle:Palette États et territoires de l'Inde
फलकम्:Ref label	Modèle:Ref label
फलकम्:Infobox विश्वपरम्परास्थानानि	Modèle:Infobox Patrimoine mondial
वर्गः:चित्रकला	Catégorie:Peinture
फलकम्:Infobox astronaut	Modèle:Infobox Spationaute
फलकम्:Str len	Modèle:Str len
फलकम्:Infobox sport	Modèle:Infobox Sport
फलकम्:Country data Austria-Hungary	Modèle:Country data Autriche-Hongrie
फलकम्:Infobox sportsperson	Modèle:Infobox Sportif
फलकम्:प्रबोधनं-प्रयोगे-१	Modèle:Test 1
फलकम्:Myspace	Modèle:Myspace
फलकम्:Infobox artist	Modèle:Infobox Artiste
फलकम्:Country flag2	Modèle:Drapeau/callback
फलकम्:Note label	Modèle:Note label
फलकम्:Infobox album	Modèle:Infobox Musique (œuvre)
वर्गः:छत्तीसगढ़स्य मण्डलानि	Catégorie:District du Chhattisgarh
वर्गः:गुजरातराज्यस्य मण्डलानि	Catégorie:District du Gujarat
फलकम्:Emergency-bot-shutoff	Modèle:Arrêt d'urgence pour bot
फलकम्:Infobox Swiss town	Modèle:Infobox Commune de Suisse
फलकम्:IMDb name	Modèle:Imdb nom
फलकम्:Flagcountry/core	Modèle:Pays/callback
फलकम्:S-ttl	Modèle:S-ttl
फलकम्:Infobox former country	Modèle:Infobox Ancienne entité territoriale
फलकम्:Infobox tennis biography	Modèle:Infobox Joueur de tennis
फलकम्:Age in days	Modèle:Age en jours
फलकम्:S-bef	Modèle:S-bef
वर्गः:भारतस्य राष्ट्रपतयः	Catégorie:Président de l'Inde
फलकम्:Infobox waterfall	Modèle:Infobox Chute d'eau
फलकम्:Infobox Continent	Modèle:Infobox Continent
फलकम्:Gregorian serial date	Modèle:Gregorian serial date
उपनिषदः	Upanishad
फलकम्:PDFlink	Modèle:Pdf
फलकम्:Infobox game	Modèle:Infobox Jeu
फलकम्:राष्ट्रतथ्यानि ब्रिटिश राज	Modèle:Country data Inde britannique
फलकम्:Disambiguation	Modèle:Homonymie
फलकम्:Country data Nazi Germany	Modèle:Country data Allemagne nazie
फलकम्:Infobox film	Modèle:Infobox Cinéma (film)
फलकम्:भारतस्य राष्ट्रपतयः	Modèle:Palette Liste des dirigeants de l'Inde
फलकम्:Ifsubst	Modèle:Ifsubst
फलकम्:User Sandbox	Modèle:Utilisateur brouillon
फलकम्:भाषा-पुर्तगाली	Modèle:Lang-pt
फलकम्:Infobox philosopher	Modèle:Infobox Philosophe
फलकम्:Contains Chinese text	Modèle:Unicode chinois
फलकम्:Metacaixa	Modèle:Cadre à onglets
फलकम्:Infobox organization	Modèle:Infobox Organisation
फलकम्:Infobox U.S. state	Modèle:Infobox État des États-Unis
वर्गः:वास्तुशास्त्रम्	Catégorie:Architecture
फलकम्:GSE	Modèle:GEs
फलकम्:EMedicine2	Modèle:EMedicine2
फलकम्:Infobox military installation	Modèle:Infobox Structure militaire
वर्गः:पञ्जाबराज्यस्य मण्डलानि	Catégorie:District du Pendjab (Inde)
फलकम्:Pending	Modèle:En attente
फलकम्:व्यक्तिः	Modèle:Infobox Biographie
फलकम्:Nts	Modèle:Smn
फलकम्:Country data South Korea	Modèle:Country data Corée du Sud
वर्गः:केरलराज्यम्	Catégorie:Kerala
फलकम्:Coord	Modèle:Coord
फलकम्:Dmoz	Modèle:Dmoz
फलकम्:User ru-5	Modèle:Utilisateur ru-5
वर्गः:User sa	Catégorie:Utilisateur sa
वर्गः:User sa-3	Catégorie:Utilisateur sa-3
वर्गः:User sa-4	Catégorie:Utilisateur sa-4
वर्गः:User sa-2	Catégorie:Utilisateur sa-2
वर्गः:लिपयः	Catégorie:Système d'écriture
