阿非利加洲	Afrique
陳震	Chen Zhen (Trois Royaumes)
國立成功大學	Université nationale Cheng Kung
梅堯臣	Mei Yaochen
曹鄴	Cao Ye
劉禹錫	Liu Yuxi
富春山居圖	Séjour dans les Monts Fuchun
張自忠	Zhang Zizhong
王翦	Wang Jian (Qin)
韓世忠	Han Shizhong
賈似道	Jia Sidao
裴秀	Pei Xiu
三省六部	Trois départements et six ministères
魏燕王宇	Cao Yu (prince)
陶鑄	Tao Zhu
玄菟郡	Commanderie de Xuantu
劉銘傳	Liu Mingchuan
濁水溪	Zhuoshui
韓侂胄	Han Tuozhou
黃庭堅	Huang Tingjian
劉永福	Liu Yongfu
彭佳嶼	Îlot de Pengjia
金農	Jin Nong
裴松之	Pei Songzhi
曹氏	Cao
劉太公	Liu Taigong
黃家駒	Wong Ka-kui
宋哲元	Song Zheyuan
紀昀	Ji Yun
鄭燮	Zheng Xie
世界新七大奇蹟	Sept nouvelles merveilles du monde
國立政治大學	Université nationale Chengchi
宋濂	Song Lian
屏東市	Pingtung
鑒真	Jianzhen
清明上河圖	Le Jour de Qingming au bord de la rivière
臺北捷運	Métro de Taipei
延邊州	Préfecture autonome coréenne de Yanbian
袁崇煥	Yuán Chónghuàn
林紓	Lin Shu
中國朝鮮族	Diaspora coréenne en Chine
李悝	Li Kui
桃花島	Île Taohua
李太祖	Lý Thái Tổ
攀牙灣	Baie de Phang Nga
色戒	Lust, Caution
日本雅樂	Gagaku
清明	Qingmingjie
墨家	Moïsme
帝嚳	Ku (empereur)
印地文維基大典	Wikipédia en hindi
琴	Guqin
範空間	Espace vectoriel normé
有界	Partie bornée
呂氏春秋	Lüshi Chunqiu
乃蠻	Naïman
秦檜	Qin Hui
帝乙	Di Yi
鎮	Bourg (Chine)
丁奉	Ding Feng
蘇我入鹿	Soga no Iruka
郭淮	Guo Huai
毌丘儉	Guanqiu Jian
房玄齡	Fang Xuanling
盤庚	Pan Geng
法正	Fa Zheng
平知盛	Taira no Tomomori
梁武帝	Wudi (Liang)
魯	Lu (État)
蓬金鐵	Pone Kingpetch
倫敦東隅	East End
夏侯尚	Xiahou Shang
程普	Cheng Pu
申 (地支)	Singe (astrologie chinoise)
歐羅巴	Europa
性	Humanité
八元數	Octonion
廉頗	Lian Po
結合代數	Algèbre associative
春秋	Annales des Printemps et Automnes
地級市	Ville-préfecture
黃巾之亂	Turbans jaunes
迴文數	Nombre palindrome
水墨畫	Lavis
威爾斯親王島	Île Prince-de-Galles (Queensland)
銀魂	Gintama
沖繩縣	Préfecture d'Okinawa
善通寺	Zentsū-ji
香港城市大學	Université municipale de Hong Kong
崇明縣	Chongming
三國志人物列表	Personnages des Trois Royaumes
百度大典	Baidu Baike
平衡球	Ballance
盤谷銀行	Bangkok Bank
基 (拓撲)	Base (topologie)
本草綱目	Bencao gangmu
帝堯	Yao (empereur)
二虎歌	Frère Jacques (chanson)
南越	Nanyue
赤壁之戰	Bataille de la Falaise rouge
長生殿	Le Palais de la longévité
超複數	Nombre hypercomplexe
奧海鎮	Ojai
望夫石	Roche d'Amah
建元 (釋義)	Jianyuan
天下通言	Langue auxiliaire internationale
京 (釋義)	京
博者之謬	Erreur du parieur
太初	Taichu
粟裕	Su Yu
藤原清河	Fujiwara no Kiyokawa
漢傳佛教	Bouddhisme en Chine
叔梁紇	Shu Lianghe
渭水	Wei He
阿巴諾湖	Lac d'Albano
康熙字典	Dictionnaire de caractères de Kangxi
證明論	Théorie de la démonstration
石	Koku
坂出市	Sakaide
族 (數學)	Famille (mathématiques)
李賀	Li He
仡佬族	Gelao
整除	Critère de divisibilité
光圈	Ouverture (photographie)
禮記	Classique des rites
內點	Intérieur (topologie)
州際三十五號公路大橋	Pont autoroutier de l'Interstate-35 Ouest du Mississippi
萬葉假名	Man'yōgana
干寶	Gan Bao
姣童	Bishōnen
元朗區	Yuen Long (district)
北魏	Dynastie Wei du Nord
尚書	Classique des documents
雲隙光	Rayon crépusculaire
康威數	Nombre surréel
喃字	Chữ nôm
常用漢字	Jōyō kanji
天命	Mandat du Ciel
周界	Frontière (topologie)
漢水	Han (affluent du Yangzi Jiang)
高昌	Gaochang
窮奇	Kamaitachi
太甲	Tai Jia
武乙	Wu Yi (Shang)
中華民國總統	Président de la République de Chine (Taïwan)
國字標準字體	Forme normalisée des caractères chinois
尚穆王	Shō Boku
尚德王	Shō Toku
尚元王	Shō Gen
尚永王	Shō Ei
尚寧王	Shō Nei
陸奧國	Province de Mutsu
東方計劃	Touhou Project
分液漏斗	Ampoule à décanter
建元 (西漢)	Jianyuan (140-135 av. J.-C.)
晉國	Jin (État)
魏	Wei (État)
單連通	Connexité simple
吳	Wu (État)
藁人之謬	Épouvantail (rhétorique)
京津城際鐵路	LGV Pékin - Tianjin
地球之年歲	Âge de la Terre
弗林德斯島 (塔斯曼尼亞)	Flinders Island
坂上田村麻呂	Sakanoue no Tamuramaro
前涼	Liang antérieur
天下	Céleste Empire
馬拉浦南	Malappuram
泰京銀行	Krung Thai Bank
數學科目分類	Classification mathématique par matières
階乘質數	Nombre premier factoriel
陸上風帆	Char à voile
孫峻	Sun Jun
董襲	Dong Xi
蔣欽	Jiang Qin
董允	Dong Yun
大來皇女	Princesse Ōku
景教	Église de l'Orient
兼六園	Kenroku-en
代數 (代數)	Algèbre sur un corps
羅勇市	Rayong
儋州市	Danzhou
汶川縣	Xian de Wenchuan
維克多港	Victor Harbor
江陰市	Jiangyin
固始縣	Xian de Gushi
臨安市	Lin'an (Zhejiang)
越秀	District de Yuexiu
新會區	District de Xinhui
黃巖區	District de Huangyan
大都	Cambaluc
倉頡輸入法	Méthode cangjie (méthode d'entrée)
倉頡	Cang Jie
尚豐王	Shō Hō
尚貞王	Shō Tei
尚敬王	Shō Kei
卡羅萊納箱龜	Terrapene carolina
凌遲	Lingchi
三國殺	Tueurs des Trois Royaumes
美洲殖民	Histoire coloniale de l'Amérique
蒙古文字	Mongol bitchig
燕	Yan
日本新字體	Shinjitai
朱鳥	Oiseau vermillon
尚溫王	Shō On
周武王	Zhou Wuwang
單于	Chanyu
泉鏡花	Kyōka Izumi
去衣馳騁	Streaker
宋	Song (État)
頌聖歌	Sansoen Phra Barami
燭線	Chandeliers japonais
陳	Chen (État)
後漢	Han postérieurs
加藤清正	Katō Kiyomasa
泰南	Thaïlande du Sud
南梁	Dynastie Liang
夢溪筆談	Meng xi bi tan
大學	Grande Étude
玉篇	Yupian
希望之聲	Son de l'espoir
成漢	Cheng Han
陸游	Lu You
閣帕岸島	Ko Pha Ngan
積拓撲	Topologie produit
縣級市	Ville-district
夢蓮湖	Lac Moraine
說文解字	Shuowen Jiezi
白虎	Tigre blanc de l'ouest
祁連山	Monts Qilian
隸書	Écriture des clercs
尚圓王	Shō En
西班牙小姐	Miss Espagne
貞觀 (釋義)	Ère Jōgan
中國共產黨中央政治局	Bureau politique du Parti communiste chinois
厓山海戰	Bataille de Yamen
武漢大學	Université de Wuhan
吳語維基大典	Wikipédia en wu
楊鎬	Yang Hao (érudit)
納蘭性德	Nara Singde
尚灝王	Shō Kō
亞米利加蝲蛄	Écrevisse de Louisiane
董和	Dong He
程秉	Cheng Bing
源義仲	Minamoto no Yoshinaka
尚泰久王	Shō Taikyū
己酉倭亂	Invasion de Ryūkyū
藏學	Tibétologie
少皞	Shaohao
訓讀	Kun'yomi
子思	Zi Si
簡雍	Jian Yong
日本舊字體	Kyūjitai
衛	Wei (Printemps et Automnes)
奈良女子大學	Université féminine de Nara
大篆	Style grand sceau
三淸	Trois Purs
香港電台	RTHK
人民公社	Commune populaire
伊多文維基大典	Wikipédia en ido
雷峰塔	Pagode de Leifeng
毒丸術	Pilule empoisonnée
蘇轍	Su Zhe
麻貴	Ma Gui
西施	Xi Shi
辛棄疾	Xin Qiji
中國茉莉花革命	Manifestations chinoises de 2011
大日本史	Dai Nihonshi
桓階	Huan Jie
甲	Jia
何晏	He Yan
竹島 (釋義)	Takeshima (homonymie)
丁先皇	Đinh Bộ Lĩnh
周景王	Zhou Jingwang (Ji Gui)
近衛前久	Konoe Sakihisa
和字	Kokuji
笏	Shaku (bâton rituel)
費詩	Fei Shi
霍弋	Huo Yi
六書	Étymologie des caractères chinois
東巴文	Écriture dongba
文選	Wen Xuan
粵文維基大典	Wikipédia en cantonais
藤原定子	Fujiwara no Teishi
節氣	Période solaire
蘇我馬子	Soga no Umako
共形場論	Théorie conforme des champs
周幽王	Zhou Youwang
鰲拜	Oboi
黎太祖	Lê Lợi
孟姜女	Meng Jiangnü
零號元素	Neutronium
小篆	Style petit sceau
他彼河	Tapi
零零七島	Khao Phing Kan
唐律疏議	Code Tang
長平之戰	Bataille de Changping
楷書	Style régulier
朱然	Zhu Ran
吐谷渾	Tuyuhun
關門大橋	Pont Kanmon
五畿七道	Gokishichidō
六朝	Six Dynasties
京口	District de Jingkou
維基大典:大使館	Wikipédia:Ambassade
華嚴宗	Huayan
慶元縣	Xian de Qingyuan (Zhejiang)
太鼓達人	Taiko no Tatsujin
周后稷	Houji
孫瑜	Sun Yu (Dynastie Han)
四大文明古國	Berceau de la civilisation
平將門	Taira no Masakado
曾子	Zengzi
歐陽詢	Ouyang Xun
爾雅	Er ya
旺角	Mong Kok
董昭	Dong Zhao
孫靜	Sun Jing
郭嘉	Guo Jia
國分寺	Kokubunji
分數	Nombre rationnel
賀拉斯多尼索普	Horace Donisthorpe
紅統群島	Parc national de Mu Ko Ang Thong
南匯區	District de Nanhui
千字文	Classique des Mille Caractères
營山縣	Xian de Yingshan (Sichuan)
鄴	Ye (Chine)
宰相	Premier ministre de Chine
荀彧	Xun Yu
王勃	Wang Bo
程昱	Cheng Yu
顧雍	Gu Yong
曾鞏	Zeng Gong
周赧王	Zhou Nanwang
有司足下之函	Lettre « Dear Boss »
劍	Jian
蔡襄	Cai Xiang
蘇我蝦夷	Soga no Emishi
翹傳	Kim-Vân-Kiêu
色情男女	Viva Erotica
驚蟄	Jingzhe
PSYCHO-PASS	Psycho-Pass
黎大行	Lê Đại Hành
泰國日報	Thai Rath
胡季犛	Hồ Quý Ly
龜甲萬	Kikkoman
恆山	Mont Heng (Shanxi)
洞爺湖	Lac Tōya
古丁尼柏國家公園	Parc national Quttinirpaaq
漢服	Hanfu
秦莊襄王	Zhuangxiang de Qin
泰王國股票交易所	Stock Exchange of Thailand
乾燥氣候	Aridité
漢衛思皇后	Impératrice Wei Zifu
竹林七賢	Sept Sages de la forêt de bambous
傅肜	Fu Tong
廖化	Liao Hua
琉球列王表	Liste des souverains des îles Ryūkyū
開福區	District de Kaifu (Changsha)
未央區	District de Weiyang (Xi'an)
吾父甘地	Gandhi, My Father
富勞里友半島	Péninsule Fleurieu
內閣情報調查室	Naichō
下城區	District de Xiacheng
立春	Lichun
雨水	Yushui
沙繳市	Sa Kaeo
溫庭筠	Wen Tingyun
武穴市	Wuxue
霍峻	Huo Jun
步騭	Bu Zhi
孝經	Classique de la piété filiale
拾穗	Des glaneuses
海安縣	Xian de Hai'an
秦孝文王	Xiaowen de Qin
尚泰王	Shō Tai
西夏文	Écriture tangoute
泰和縣	Xian de Taihe (Jiangxi)
妲己	Daji
後樂園	Kōraku-en
首都圈新都市鐵道筑波快線	Tsukuba Express
文言維基大典	Wikipédia en chinois classique
徐庶	Xu Shu
動物莊園	La Ferme des animaux
藤原忠平	Fujiwara no Tadahira
Category:德國史	Catégorie:Allemagne
Category:俄羅斯聯邦書	Catégorie:Russie
華爾	Frederick Townsend Ward
Category:大韓民國書	Catégorie:Corée du Sud
Category:羅馬帝國書	Catégorie:Empire romain
Category:鳥	Catégorie:Oiseau
Category:植物	Catégorie:Plante
Category:物理	Catégorie:Physique
Category:自然科學	Catégorie:Sciences naturelles
Category:化學	Catégorie:Chimie
Category:史部	Catégorie:Histoire
Category:群	Catégorie:Société
Category:宗教	Catégorie:Religion
Category:運動	Catégorie:Sport
Category:經部	Catégorie:Sciences
Category:聯合國	Catégorie:Organisation des Nations unies
Category:地球	Catégorie:Terre
玉龍雪山	Mont enneigé Yulong
盈不足術	Méthode de la fausse position
維曼默宮	Résidence Vimanmek
道路連通	Connexité (mathématiques)
黃山 (泰國)	Khao Luang
平潭島	Île Pingtan
眼鏡娘	Meganekko
韓	Han (État)
摩靈頓島	Île Mornington (Australie)
昂船洲大橋	Pont de Stonecutters
一條兼良	Ichijō Kaneyoshi
精	Jing (médecine chinoise)
桂宮宜仁親王	Yoshihito de Katsura
古羅馬	Rome antique
政令指定都市	Villes désignées par ordonnance gouvernementale
甲骨蟾	Toad (logiciel)
物部氏	Clan Mononobe
宋卡湖	Lac Songkhla
克拉拉·奧斯瓦爾德	Clara Oswald
古今圖書集成	Gujin tushu jicheng
聖火降魔錄	Fire Emblem
清談	Qingtan
局部	Propriété locale
不寐	Insomnie
閩越	Minyue
Category:哲學	Catégorie:Philosophie
Category:心理	Catégorie:Psychologie
Category:佛教	Catégorie:Bouddhisme
Category:基督教	Catégorie:Christianisme
Category:回教	Catégorie:Islam
Category:猶太教	Catégorie:Judaïsme
洋油貓弔詭	Paradoxe du chat beurré
華東師範大學	Université normale de la Chine de l'Est
汝有二牯	Vous avez deux vaches
藏文維基大典	Wikipédia en tibétain
量子群	Groupe quantique
吳 (釋義)	Wu
小豆島	Shōdoshima
廣韻	Guangyun
唐寅	Tang Yin
精緻拱門	Delicate Arch
陸機	Lu Ji
阿拉伯文維基大典(埃及地區)	Wikipédia en arabe égyptien
物部守屋	Mononobe no Moriya
兒島明子	Akiko Kojima
吐蕃	Empire du Tibet
鄰域	Voisinage (mathématiques)
大澳	Tai O
羅馬共和官制	Constitution de la République romaine
梵文維基大典	Wikipédia en sanskrit
夏 (釋義)	Xia
華夏	Huaxia
將軍澳	Tseung Kwan O
陸秀夫	Lu Xiufu
準基	Prébase
柬埔寨商業銀行	Banque commerciale du Cambodge
丹羽長秀	Niwa Nagahide
燒賣	Bouchon (bouchée de viande)
豆腐乳	Tofu fermenté
Category:殘章	Catégorie:Wikipédia:ébauche
Category:維基事	Catégorie:Espace Wikipédia
Category:行星	Catégorie:Planète
Category:地質	Catégorie:Géologie
中江兆民	Chōmin Nakae
大喬	Da Qiao
每日新聞 (泰國)	Daily News (Thaïlande)
華覈	Hua He
藺相如	Lin Xiangru
未央宮	Palais Weiyang
弗林德斯島 (南澳大利亞)	Flinders Island (Investigator)
靜御前	Shizuka Gozen
傅雷	Fu Lei
北京中華門	Porte de Chine
阮咸 (樂器)	Ruan (instrument)
呼延贊	Huyan Zan
越史略	Đại Việt sử lược
明治	Ère Meiji
穆天子傳	Mu Tianzi Zhuan
泰國環球小姐	Miss Univers Thaïlande
維基大典:陳年今誌	Wikipédia:Éphéméride
正數	Nombre positif
林黛玉	Lin Daiyu
羅伯特議事規則	Robert's Rules of Order
Template:太陽系	Modèle:Palette Système solaire
閩南語維基大典	Wikipédia en minnan
海南雞飯	Riz au poulet hainanais
春運	Chunyun
門:子	Portail:Philosophie
日意格	Prosper Giquel
法 (釋義)	法 (sinogramme)
國際語維基大典	Wikipédia en interlingua
門:集	Portail:Arts
Category:小行星帶天體	Catégorie:Astéroïde de la ceinture principale
Category:美國列傳	Catégorie:Personnalité américaine
Template:Tl	Modèle:M
Template:Userbox	Modèle:BUtilisateur
Category:網頁瀏覽器	Catégorie:Navigateur web
Template:世事	Modèle:Accueil actualité
Category:律法	Catégorie:Droit
Category:計學	Catégorie:Économie
維基大典:有秩選舉	Wikipédia:Candidature au statut d'administrateur
Category:醫學	Catégorie:Médecine
Category:政治	Catégorie:Politique
Category:教育	Catégorie:Éducation
Category:藝術	Catégorie:Art
會計	Comptabilité d'entreprise
密思兒	Égypte
國務院總理	Premier ministre de la République populaire de Chine
Category:統計	Catégorie:Statistiques
Template:Bot	Modèle:Bot
加拿大	Canada
Category:卓著	Catégorie:Article de qualité
維	Dimension
Category:遊戲	Catégorie:Jeu
門:經	Portail:Sciences
Category:幫助文檔	Catégorie:Espace Aide
維基大典:世事	Portail:Actualité
Template:Documentation	Modèle:Documentation
Category:有秩	Catégorie:Administrateur Wikipédia
維基大典:簿之權限	Aide:Statuts des utilisateurs
Category:半保護	Catégorie:Page semi-protégée
Category:維基提案	Catégorie:Prise de décision
維基大典:聯繫	Wikipédia:Contact
維基大典:市集	Wikipédia:Accueil de la communauté
Category:維基社群	Catégorie:Communauté Wikipédia
Category:維基人	Catégorie:Wikipédiens par langue
Category:維基人 (地方)	Catégorie:Wikipédiens par lieu
維基大典:忽略規則	Wikipédia:Interprétation créative des règles
維基大典:五柱	Wikipédia:Principes fondateurs
成在基	Sung Jae-ki
企業	Entreprise
Template:Softredirect	Modèle:Redirection douce
Template:刪	Modèle:Suppression Immédiate
Category:技術	Catégorie:Technologie
Category:語言	Catégorie:Langue
Category:語法	Catégorie:Grammaire
Category:維基大典	Catégorie:Wikipédia
Category:諸語維基大典	Catégorie:Édition de Wikipédia
Category:帶壞檔之頁	Catégorie:Page avec des liens de fichiers brisés
門:卷首	Portail:Accueil
小喬	Xiao Qiao
Template:Navbox	Modèle:Méta palette de navigation
Template:捷徑	Modèle:Raccourci
Category:時區	Catégorie:Fuseau horaire
Category:維基大典維護	Catégorie:Maintenance des pages méta
門:美國史	Portail:États-Unis
Template:!	Modèle:!
Template:Navbar	Modèle:Tnavbar
Template:Unicode	Modèle:UCode
Category:格式模板	Catégorie:Modèle de formatage
Template:Clear	Modèle:Clr
Template:Nowrap	Modèle:Nobr
阮氏	Nguyễn
維基大典:當有之文	Wikipédia:Articles vitaux
Category:數	Catégorie:Nombre
Category:書籍	Catégorie:Livre
Template:Wikisource	Modèle:Wikisource
Template:Babel	Modèle:Boîte Babel
Template:共享	Modèle:Commons
Template:Reflist	Modèle:Références
維基大典:掃興警示	Wikipédia:Dévoile l'intrigue du récit
Template:芻文	Modèle:Ébauche
Template:See also	Modèle:Article connexe
Template:User de	Modèle:Utilisateur de
Template:User de-1	Modèle:Utilisateur de-1
Template:User es-2	Modèle:Utilisateur es
Template:User en-3	Modèle:Utilisateur en-3
Template:User en-1	Modèle:Utilisateur en-1
Template:User en-2	Modèle:Utilisateur en-2
Template:User en-4	Modèle:Utilisateur en-4
Template:User en	Modèle:Utilisateur en
Template:User de-2	Modèle:Utilisateur de-2
Template:User es-1	Modèle:Utilisateur es-1
Template:User fr-1	Modèle:Utilisateur fr-1
Category:香港大專院校	Catégorie:Université à Hong Kong
Template:User he-2	Modèle:Utilisateur he-2
Template:User id-3	Modèle:Utilisateur id-3
Template:User sk	Modèle:Utilisateur sk
Template:User fr-2	Modèle:Utilisateur fr-2
Template:User ja	Modèle:Utilisateur ja
Template:User ja-1	Modèle:Utilisateur ja-1
Template:User fr	Modèle:Utilisateur fr
Category:智利	Catégorie:Chili
Category:廿一世紀	Catégorie:XXIe siècle
Category:維護模板	Catégorie:Modèle de maintenance
Category:User uk	Catégorie:Utilisateur uk
Category:User uk-N	Catégorie:Utilisateur uk-M
Template:Mod	Modèle:Mod
Template:User uk	Modèle:Utilisateur uk
Category:百科全書	Catégorie:Encyclopédie
Template:歡迎	Modèle:Bienvenue nouveau
Category:User ms	Catégorie:Utilisateur ms
Template:Edit	Modèle:Éditer
Template:Ref	Modèle:Note
Template:Userbox-2	Modèle:Userbox-2
Category:User fr-1	Catégorie:Utilisateur fr-1
Template:Wikiquote	Modèle:Wikiquote
Template:Image label	Modèle:Image label
Template:Ja	Modèle:Ja
Template:維基諸策	Modèle:Palette Wikimedia Foundation
Template:大修	Modèle:En cours
Template:Es	Modèle:Es
Template:Ambox	Modèle:Méta bandeau d'avertissement
Template:二十四節氣	Modèle:Palette Périodes solaires
Category:美國史	Catégorie:Histoire des États-Unis
Template:國	Modèle:Infobox Pays
Template:Infobox software	Modèle:Infobox Logiciel
Template:Wide image	Modèle:Image panoramique
Template:Military Conflict	Modèle:Infobox Conflit militaire
Template:Audio	Modèle:Prononciation
Template:電玩訊欄	Modèle:Infobox Jeu vidéo
Template:卓著	Modèle:Article de qualité
Category:User en-4	Catégorie:Utilisateur en-4
Category:User en	Catégorie:Utilisateur en
Category:User zh	Catégorie:Utilisateur zh
Category:User zh-N	Catégorie:Utilisateur zh-M
Category:User en-2	Catégorie:Utilisateur en-2
Template:User zh	Modèle:Utilisateur zh
Template:Template other	Modèle:Template other
Template:Legend	Modèle:Légende
Template:引網	Modèle:Lien web
Category:食	Catégorie:Alimentation
Template:未已之作	Modèle:Événement à venir
Template:Coor URL	Modèle:Coord/URL
Template:Pp-template	Modèle:Protection
Category:史書	Catégorie:Livre d'histoire
Template:維基爾雅	Modèle:Wiktionnaire
Template:Multi-listen start	Modèle:Multi-son début
Template:MongolUnicode	Modèle:Mongol
Template:Languageicon	Modèle:Indication de langue
Category:農業	Catégorie:Agriculture
Template:R	Modèle:Références multiples
Category:User ms-N	Catégorie:Utilisateur ms-M
Template:User ru	Modèle:Utilisateur ru
Category:二十世紀	Catégorie:XXe siècle
Template:IPA	Modèle:Prononciation API
Template:釋義二	Modèle:Voir homonymes
Category:東羅馬史	Catégorie:Empire byzantin
Template:LangWithName	Modèle:Langue avec nom
Template:Navbox subgroup	Modèle:Méta palette de navigation sous-groupe
Template:Archive box	Modèle:Archives
Template:Navbox with collapsible groups	Modèle:Méta palette de navigation sous-liste
Template:Copyvio	Modèle:Copie de site
Template:元素週期表	Modèle:Tableau périodique (navigation)
中華當世地方	Administration territoriale de la Chine
Template:天下觀	Modèle:Internationaliser
Template:Image label end	Modèle:Image label fin
Template:澳大利亞地方	Modèle:Palette États et territoires de l'Australie
Template:Purge	Modèle:Purger le cache
Template:土星之衛星	Modèle:Palette Satellites de Saturne
Template:User IE	Modèle:Utilisateur Internet Explorer
Template:中華人民共和國地方	Modèle:Palette Subdivisions de la Chine
Template:齋	Modèle:Page personnelle
Template:Userboxbreak	Modèle:BUbreak
Template:User	Modèle:U
非標準實數	Nombre hyperréel
Template:User language-4	Modèle:Babel field 4
Category:中學	Catégorie:École secondaire
Template:Note	Modèle:Refa
Category:公司	Catégorie:Entreprise
Template:User language-0	Modèle:Babel field 0
Template:User fr-3	Modèle:Utilisateur fr-3
Template:Th	Modèle:Th
無量壽經	Sūtra de Vie-Infinie
Template:Redirect	Modèle:Redirect
Template:ASIN	Modèle:ASIN
Category:日本地方志	Catégorie:Subdivision du Japon
Category:器	Catégorie:Équipement
Template:非也	Modèle:Contre
石上麻呂	Isonokami no Maro
Template:SUL Box	Modèle:Utilisateur Identifiant unique
Category:複分析	Catégorie:Analyse complexe
Category:User ja-N	Catégorie:Utilisateur ja-M
Category:茶	Catégorie:Thé
贛語維基大典	Wikipédia en gan
Template:Browsebar	Modèle:Browsebar
Template:物質狀態	Modèle:Palette État de la matière
Template:釋義	Modèle:Homonymie
Category:攝影	Catégorie:Photographie
Category:天皇本紀	Catégorie:Empereur du Japon
Category:德意志第三帝國書	Catégorie:Troisième Reich
Category:朝鮮史	Catégorie:Histoire de la Corée
Category:礦冶	Catégorie:Industrie minière
Template:User nan	Modèle:Utilisateur zh-min-nan
Template:User nan-1	Modèle:Utilisateur zh-min-nan-1
Template:User ksh	Modèle:Utilisateur ksh
Template:User yue-1	Modèle:Utilisateur zh-yue-1
Template:Lang-en	Modèle:Lang-en
Category:廣州	Catégorie:Canton (Chine)
Category:建築	Catégorie:Architecture
Template:De	Modèle:De
Template:Infobox person	Modèle:Infobox Biographie
Category:鐵路	Catégorie:Chemin de fer
Template:洲	Modèle:Palette Masses continentales
Template:InterWiki	Modèle:Interwiki
Template:LSR	Modèle:Dernière version stable
Template:User th-1	Modèle:Utilisateur th-1
Category:金蘭之模	Catégorie:Modèle interwiki
Template:User bg	Modèle:Utilisateur bg
Template:User la-1	Modèle:Utilisateur la-1
Template:APEC	Modèle:Palette Coopération économique Asie-Pacifique
Template:歐洲	Modèle:Palette Pays d'Europe
Category:User yue	Catégorie:Utilisateur zh-yue
Category:User zh-wuu	Catégorie:Utilisateur wuu
Category:User sk	Catégorie:Utilisateur sk
Category:User fr	Catégorie:Utilisateur fr
Category:User id	Catégorie:Utilisateur id
Category:User ja	Catégorie:Utilisateur ja
Category:User la	Catégorie:Utilisateur la
Category:User th	Catégorie:Utilisateur th
Category:User fr-3	Catégorie:Utilisateur fr-3
Category:User fr-2	Catégorie:Utilisateur fr-2
Category:User ja-2	Catégorie:Utilisateur ja-2
Category:User wuu-N	Catégorie:Utilisateur wuu-M
Category:User ko-N	Catégorie:Utilisateur ko-M
Category:User fr-N	Catégorie:Utilisateur fr-M
Category:User ru-N	Catégorie:Utilisateur ru-M
Category:娛樂	Catégorie:Divertissement
Template:User yue	Modèle:Utilisateur yüt
Category:文字	Catégorie:Système d'écriture
Category:圖像模板	Catégorie:Modèle de maintenance des fichiers
Category:User bg	Catégorie:Utilisateur bg
Category:輕小說	Catégorie:Light novel
Category:道教	Catégorie:Taoïsme
Category:User bg-N	Catégorie:Utilisateur bg-M
Category:User sk-N	Catégorie:Utilisateur sk-M
Category:User de	Catégorie:Utilisateur de
Category:User de-2	Catégorie:Utilisateur de-2
Category:User de-N	Catégorie:Utilisateur de-M
Category:User en-3	Catégorie:Utilisateur en-3
Category:User en-N	Catégorie:Utilisateur en-M
Category:User es	Catégorie:Utilisateur es
Category:User es-1	Catégorie:Utilisateur es-1
Category:User id-3	Catégorie:Utilisateur id-3
Template:User ryu-1	Modèle:Utilisateur ryu-1
Category:User ryu	Catégorie:Utilisateur ryu
Category:韓語	Catégorie:Langue coréenne
Category:幾何	Catégorie:Géométrie
Category:User ja-1	Catégorie:Utilisateur ja-1
Category:User ko	Catégorie:Utilisateur ko
Category:User ko-1	Catégorie:Utilisateur ko-1
Category:User ko-2	Catégorie:Utilisateur ko-2
Category:User ksh	Catégorie:Utilisateur ksh
Category:User ksh-N	Catégorie:Utilisateur ksh-M
Category:User la-3	Catégorie:Utilisateur la-3
Category:斯巴達書	Catégorie:Sparte
Template:辨	Modèle:Confusion
Category:待譯之文	Catégorie:Traduction incomplète
Category:User ru-1	Catégorie:Utilisateur ru-1
維基大典:巴别	Wikipédia:Babel
Template:木星之衛星	Modèle:Palette Satellites de Jupiter
Category:化合物	Catégorie:Composé chimique
Category:大洋洲史	Catégorie:Histoire de l'Océanie
Category:User ms-1	Catégorie:Utilisateur ms-1
Template:Math.abs	Modèle:Abs
Category:以嗜好類之維基人	Catégorie:Wikipédiens par centre d'intérêt
Category:花	Catégorie:Fleur
Category:慶尚北道	Catégorie:Gyeongsang du Nord
Category:廣東省	Catégorie:Guangdong
Category:四川省	Catégorie:Sichuan
Category:遼寧省	Catégorie:Liaoning
Category:陝西省	Catégorie:Shaanxi
Category:安徽省	Catégorie:Anhui
Category:江西省	Catégorie:Jiangxi
Category:江蘇省	Catégorie:Jiangsu
Category:吉林省	Catégorie:Jilin
Category:福建省	Catégorie:Fujian
Category:海南省	Catégorie:Hainan
Category:河北省	Catégorie:Hebei
Category:黑龍江省	Catégorie:Heilongjiang
Category:湖北省	Catégorie:Hubei
Category:地理	Catégorie:Géographie physique
Category:水	Catégorie:Eau
Category:美洲史	Catégorie:Histoire de l'Amérique
Category:User nan	Catégorie:Utilisateur zh-min-nan
Category:User nan-1	Catégorie:Utilisateur zh-min-nan-1
Category:User nan-N	Catégorie:Utilisateur zh-min-nan-M
Template:!w	Modèle:!wrap
Template:Zh	Modèle:Zh
Category:江戶書	Catégorie:Époque d'Edo
Category:室町書	Catégorie:Époque de Muromachi
Category:鎌倉書	Catégorie:Époque de Kamakura
Category:古墳書	Catégorie:Période Kofun
Category:戰國書	Catégorie:Époque Sengoku
Template:User ja-2	Modèle:Utilisateur ja-2
Template:User ko-2	Modèle:Utilisateur ko-2
Template:User ko-1	Modèle:Utilisateur ko-1
Template:User ru-2	Modèle:Utilisateur ru-2
