Afríka	Afrique
354	354
Funkisstíll	Fonctionnalisme (architecture)
Labradorstraumurinn	Courant du Labrador
Norðvestur-England	Angleterre du Nord-Ouest
364	364
Austur-Miðhéruð	Midlands de l'Est
Austur-England	Angleterre de l'Est
Suðaustur-England	Angleterre du Sud-Est
Suðvestur-England	Angleterre du Sud-Ouest
Snið:CommonsCat	Modèle:Commonscat
Vestur-Miðhéruð (landshluti)	Midlands de l'Ouest
1781-1790	Années 1780
Yorkshire og Humber	Yorkshire-et-Humber
384	384
Snúningsvægi	Moment d'une force (mécanique)
1731-1740	Années 1730
393	393
395	395
Heilahimnubólga	Méningite
1541-1550	Années 1540
Fáni Þýskalands	Drapeau de l'Allemagne
Skjaldarmerki Austur-Þýskalands	Armoiries de la République démocratique allemande
Geiger-teljari	Compteur Geiger
Bedřich Smetana	Bedřich Smetana
Landið helga	Terre sainte
Eric Clapton	Eric Clapton
Þýsku riddararnir	Ordre Teutonique
Stofnfruma	Cellule souche
Þjóðhöfðingjar Danmerkur	Liste des monarques de Danemark
Samar	Samis
Prins Valíant	Prince Vaillant (bande dessinée)
Austurlönd nær	Proche-Orient
Ralph Waldo Emerson	Ralph Waldo Emerson
Idi Amin	Idi Amin Dada
Stóuspeki	Stoïcisme
Mein Kampf	Mein Kampf
Ernst Haeckel	Ernst Haeckel
Falklandseyjastríðið	Guerre des Malouines
Dick Cheney	Dick Cheney
Xbox 360	Xbox 360
Alþjóðlegu náttúruverndarsamtökin	Union internationale pour la conservation de la nature
.pn	.pn
Kynferði	Genre (sciences sociales)
Medellín	Medellín
Nemandi	Étudiant
Fleygbogi	Parabole
Martin Heidegger	Martin Heidegger
Evripídes	Euripide
.nf	.nf
Orrustan við Waterloo	Bataille de Waterloo
Þvagefni	Urée
Hans Holbein yngri	Hans Holbein le Jeune
Kobe	Kobe
Siðferði	Morale
Bjólfskviða	Beowulf
Maríuhöfn	Mariehamn
Hiragana	Hiragana
Nýfundnaland	Terre-Neuve
Morgan Freeman	Morgan Freeman
Splean	Splin
Væringjar	Varègue
Recife	Recife
Heimsveldi	Empire
Þjóðhöfðingi	Chef d'État
Malakkasund	Détroit de Malacca
Dreki (heilastöð)	Hippocampe (cerveau)
Mahāyāna	Bouddhisme mahāyāna
Magellansund	Détroit de Magellan
.su	.su
David Livingstone	David Livingstone
Talía	Poulie
490 f.Kr.	490 av. J.-C.
Amritsar	Amritsar
Frjálsa hugbúnaðarstofnunin	Free Software Foundation
Nár	Cadavre
Yfirbótakirkja heilögu fjölskyldunnar	Sagrada Família
Heilagur Georg	Georges de Lydda
Fönix	Phénix
Dewey-flokkunarkerfið	Classification décimale de Dewey
Voyager 2	Voyager 2
IOS	IOS (Apple)
Chromium	Chromium (navigateur web)
1751-1760	Années 1750
Carl Milles	Carl Milles
1581-1590	Années 1580
Rósettusteinninn	Pierre de Rosette
1591-1600	Années 1590
Hannes Sigurðsson	Hannes Sigurðsson
Landsbankadeild karla í knattspyrnu 2005	Championnat d'Islande de football 2005
Landsbankadeild karla í knattspyrnu 2004	Championnat d'Islande de football 2004
Marmaduke (kvikmynd)	Marmaduke
Psych	Psych : Enquêteur malgré lui
Geimskutla	Navette spatiale américaine
Didier Drogba	Didier Drogba
Whoopi Goldberg	Whoopi Goldberg
Patrick Swayze	Patrick Swayze
Gluggatjöld	Rideau
Frumtala (stærðfræði)	Nombre premier
Saumavél	Machine à coudre
Hugh Laurie	Hugh Laurie
Þ	Þ
Ú	Ú
Ý	Ý
Kurt Vonnegut	Kurt Vonnegut
Sex daga stríðið	Guerre des Six Jours
Smásaga	Nouvelle
Afrísktættaðir Ameríkanar	Afro-Américains
Columbia-háskóli	Université Columbia
Jom kippúr-stríðið	Guerre du Kippour
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Boston-háskóli	Université de Boston
Yale-háskóli	Université Yale
Ivy League	Ivy League
Brown-háskóli	Université Brown
Cornell-háskóli	Université Cornell
Dartmouth-háskóli	Dartmouth College
Pennsylvaníuháskóli	Université de Pennsylvanie
Boston College	Boston College
Tufts-háskóli	Université Tufts
Toshiba	Toshiba
Fenway Park	Fenway Park
New Haven	New Haven
Martha's Vineyard	Martha's Vineyard
Þorskhöfði	Cap Cod
Portsmouth (New Hampshire)	Portsmouth (New Hampshire)
Portland (Maine)	Portland (Maine)
New York-háskóli	Université de New York
Texas-háskóli í Austin	Université du Texas à Austin
Ástrónesísk tungumál	Langues austronésiennes
Orlando	Orlando (Floride)
Læknar án landamæra	Médecins sans frontières
Jövuhaf	Mer de Java
Ísöld	Glaciation
Austrænar rétttrúnaðarkirkjur	Églises des trois conciles
Ferðaþjónusta	Tourisme
Laukar	Allium
Framsækið rokk	Rock progressif
Erkibiskup	Archevêque
Postulleg vígsluröð	Succession apostolique
Ponte Buggianese	Ponte Buggianese
Internasjónalinn	L'Internationale
Rosslyn-kapellan	Chapelle de Rosslyn
Stórfurstadæmið Litháen	Grand-duché de Lituanie
Sveifarás	Vilebrequin (moteur)
Minecraft	Minecraft
Victor Horta	Victor Horta
Skáld	Poète
Kristilegi demókrataflokkurinn (Þýskalandi)	Union chrétienne-démocrate d'Allemagne
Verkfall	Grève
Bannfæring	Excommunication
Randy Pausch	Randy Pausch
Gifting	Noces
Póstþjónusta	Poste
Skjal	Document
Herforingjastjórn	Dictature militaire
Úrtak	Échantillon (statistiques)
2050	2050
Skoðanakönnun	Sondage d'opinion
Alberto Sordi	Alberto Sordi
Giulio Andreotti	Giulio Andreotti
The Times	The Times
John Stuart Mill	John Stuart Mill
Tvístirni	Étoile binaire
Visual Basic .NET	Visual Basic .NET
ISO 8601	ISO 8601
Trójuhestur	Cheval de Troie
Listi yfir mongólsk Aimag	Aïmag
Carlos Tévez	Carlos Tévez
Manchester City	Manchester City Football Club
Austfold	Comté d'Østfold
Akurshús	Comté d'Akershus
Heiðmörk (fylki í Noregi)	Comté de Hedmark
Upplönd	Comté d'Oppland
Buskerud	Comté de Buskerud
Vestfold	Comté de Vestfold
Austur-Agðir	Comté d'Aust-Agder
Vestur-Agðir	Comté de Vest-Agder
Rogaland	Comté de Rogaland
Hörðaland	Comté de Hordaland
Sogn og Firðafylki	Comté de Sogn og Fjordane
Mæri og Raumsdalur	Comté de Møre og Romsdal
Suður-Þrændalög	Comté de Sør-Trøndelag
Norður-Þrændalög	Comté de Nord-Trøndelag
Norðurland (fylki í Noregi)	Comté de Nordland
Tromsfylki	Comté de Troms
Finnmörk	Comté de Finnmark
Goethe-háskóli í Frankfurt	Université Johann Wolfgang Goethe de Francfort-sur-le-Main
Sagnaritun	Historiographie
Flokksræði	Parti unique
Stuðull (stærðfræði)	Coefficient
Breyta	Variable (mathématiques)
Ferningstala	Carré parfait
Þáttur (stærðfræði)	Diviseur
Ástralskur fótbolti	Football australien
Die Hard 4.0	Die Hard 4 : Retour en enfer
Fornegypska	Égyptien ancien
John Atta Mills	John Atta-Mills
Osorno	Osorno
Antonio Salieri	Antonio Salieri
John Ford	John Ford
AKB48	AKB48
Sameining Ítalíu	Risorgimento
Graslaukur	Ciboulette (botanique)
Uffizi-safnið	Galerie des Offices
Munnharpa	Harmonica
John Howard	John Howard (homme politique)
Hlutfall	Proportionnalité
Gleðiganga	Marche des fiertés
Lögmál Amperes	Théorème d'Ampère
Jöfnur Maxwells	Équations de Maxwell
John Chadwick	John Chadwick
Luis Buñuel	Luis Buñuel
Nefhljóð	Consonne nasale
Lokhljóð	Consonne occlusive
Punta Arenas	Punta Arenas
Nálgunarhljóð	Consonne spirante
Sveifluhljóð	Consonne roulée
Anatólía	Anatolie
Messías	Messie
Síðasta kvöldmáltíðin	Cène
Uppstigningardagur	Ascension (fête)
Kirkjusundrungin	Séparation des Églises d'Orient et d'Occident
Fyrsta krossferðin	Première croisade
Norrænu krossferðirnar	Croisades baltes
Isa	'Īsā
Marcus Antonius	Marc Antoine
Pagó Pagó	Pago Pago
Clojure	Clojure
Torremaggiore	Torremaggiore
SV Werder Bremen	Werder Brême
Her (hernaðarleg deildarskipan)	Armée (unité)
Norðurlöndin	Pays nordiques
Cortona	Cortone
Sansepolcro	Sansepolcro
Stia	Stia
Middelburg	Middelbourg
Búsvæði	Habitat (écologie)
Líflandafræði	Biogéographie
Jöklafræði	Glaciologie
Veðurfarsfræði	Climatologie
Mercury-geimferðaáætlunin	Programme Mercury
Árásin á Perluhöfn	Attaque de Pearl Harbor
LL Cool J	LL Cool J
Snið:Taxobox	Modèle:Taxobox
Ericsson	Ericsson
Formentera	Formentera
Ibiza	Ibiza
Menorka	Minorque
Jómontímabilið	Période Jōmon
SKF	SKF
Evrópubandalagið	Communauté économique européenne
Gústaf 6. Adólf	Gustave VI Adolphe
Gústaf 5.	Gustave V
Fredrik Reinfeldt	Fredrik Reinfeldt
Óskar 2. Svíakonungur	Oscar II
Karl 15. Svíakonungur	Charles XV
Óskar 1. Svíakonungur	Oscar Ier
Karl 11.	Charles XI de Suède
Karl 10. Gústaf	Charles X Gustave de Suède
Kristín Svíadrottning	Christine de Suède
Gústaf 2. Adólf	Gustave II Adolphe de Suède
Karl 9.	Charles IX (roi de Suède)
Sigmundur 3.	Sigismond III de Pologne
Jóhann 3. Svíakonungur	Jean III de Suède
Eiríkur 14.	Éric XIV de Suède
Tal	Parole
Gústaf Vasa	Gustave Ier Vasa
Víxlverkun	Interaction
Hergé	Hergé
Vittorio De Sica	Vittorio De Sica
Dario Argento	Dario Argento
Lina Wertmüller	Lina Wertmüller
Giuseppe Tornatore	Giuseppe Tornatore
Claudio Monteverdi	Claudio Monteverdi
Skólasöngleikurinn	High School Musical (téléfilm)
Skólasöngleikurinn 2	High School Musical 2
Hjólreiðar	Cyclisme
Toyota	Toyota
Karl Staaff	Karl Staaff
Arvid Lindman	Arvid Lindman
Hjalmar Hammarskjöld	Hjalmar Hammarskjöld
Nils Edén	Nils Edén
Hinrik 3. Frakkakonungur	Henri III (roi de France)
Seðlabanki Bandaríkjanna	Réserve fédérale des États-Unis
Hjalmar Branting	Hjalmar Branting
Ernst Trygger	Ernst Trygger
Froskar	Anoures
Rickard Sandler	Rickard Sandler
Carl Gustaf Ekman	Carl Gustaf Ekman
Felix Hamrin	Felix Hamrin
Per Albin Hansson	Per Albin Hansson
Laíka	Laïka
Axel Pehrsson-Bramstorp	Axel Pehrsson-Bramstorp
Rán (glæpur)	Braquage
Olof Palme	Olof Palme
Hrafntinna	Obsidienne
Enver Hoxha	Enver Hoxha
Japansstraumurinn	Kuroshio
Rafeindahýsing	Configuration électronique
Hóll (landslag)	Colline
Flokkur:Einveldi	Catégorie:Monarchie
Flokkur:Tegundir stjórnarfars	Catégorie:Régime politique
Flokkur:Ríkisstjórn	Catégorie:Gouvernement
IKEA	Ikea
Nýklassískur stíll	Architecture néo-classique
Salem (Massachusetts)	Salem (Massachusetts)
Flokkur:Héruð í Póllandi	Catégorie:Voïvodie de Pologne
Neðri-Slesía (hérað)	Voïvodie de Basse-Silésie
Kujavíska-Pommern (hérað)	Voïvodie de Couïavie-Poméranie
Lublin (hérað)	Voïvodie de Lublin
Lubusz (hérað)	Voïvodie de Lubusz
Łódź (hérað)	Voïvodie de Łódź
Litla-Pólland (hérað)	Voïvodie de Petite-Pologne
Masóvía (hérað)	Voïvodie de Mazovie
Opole (hérað)	Voïvodie d'Opole
Neðri-Karpatía (hérað)	Voïvodie des Basses-Carpates
Podlasía (hérað)	Voïvodie de Podlachie
Pommern (hérað)	Voïvodie de Poméranie
Slesía (hérað)	Voïvodie de Silésie
Święty Krzyż (hérað)	Voïvodie de Sainte-Croix
Ermland-Masúría (hérað)	Voïvodie de Varmie-Mazurie
Stóra-Pólland (hérað)	Voïvodie de Grande-Pologne
Vestur-Pommern (hérað)	Voïvodie de Poméranie occidentale
Miðkerfisvökvi	Liquide cérébro-spinal
Klingon	Klingon
Ritvinnsluforrit	Logiciel de traitement de texte
Täby	Täby
Trollhättan	Trollhättan
Borlänge	Borlänge
Upplands Väsby	Upplands Väsby
Skellefteå	Skellefteå
Lidingö	Lidingö
Landskrona	Landskrona
Nyköping	Nyköping
Motala	Motala
Ska	Ska
Sydneyhafnarbrúin	Harbour Bridge
Yle	Yle
Åkersberga	Åkersberga
Karlskoga	Karlskoga
Alingsås	Alingsås
Märsta	Märsta
Ängelholm	Ängelholm
Sandviken	Sandviken
Visby	Visby
Katrineholm	Katrineholm
Vänersborg	Vänersborg
Västervik	Västervik
Falkenberg	Falkenberg (Suède)
Karlshamn	Karlshamn
Värnamo	Värnamo
Skapahár	Pilosité pubienne
Merkingarvefur	Web sémantique
RDF	Resource Description Framework
San Cristóbal de La Laguna	San Cristóbal de La Laguna
Covent Garden	Covent Garden
Fjölbrautaskóli	Gymnasium
Ludwig-Maximilian-háskóli	Université Louis-et-Maximilien de Munich
Robert Altman	Robert Altman
Roberta Williams	Roberta Williams
David Lean	David Lean
Peter Greenaway	Peter Greenaway
Star Wars Jedi Knight: Jedi Academy	Star Wars Jedi Knight: Jedi Academy
Star Wars Jedi Knight II: Jedi Outcast	Star Wars Jedi Knight 2: Jedi Outcast
Flokkur:Gamanmyndir	Catégorie:Comédie (film)
Flokkur:Kvikmyndir eftir löndum	Catégorie:Film par pays
Flokkur:Kvikmyndir eftir leikstjóra	Catégorie:Film par réalisateur
Leni Riefenstahl	Leni Riefenstahl
Michelangelo Antonioni	Michelangelo Antonioni
Marcello Mastroianni	Marcello Mastroianni
Lestarstöð	Gare ferroviaire
Jamie Lynn Spears	Jamie Lynn Spears
Snið:Saga Japans	Modèle:Palette Histoire du Japon
Snið:Saga Evrópu	Modèle:Palette Histoire des pays d'Europe
Spice Girls	Spice Girls
Need for Speed	Need for Speed (série)
Astrid Lindgren	Astrid Lindgren
Paleógentímabilið	Paléogène
Vélamál	Langage machine
Fjöldaútdauði	Extinction massive
Deccan-flæðibasaltið	Trapps du Deccan
Jarosław Kaczyński	Jarosław Kaczyński
Lumière-bræður	Auguste et Louis Lumière
Aðferðafræðileg náttúruhyggja	Naturalisme (philosophie)
Siðspeki	Méta-éthique
Ridley Scott	Ridley Scott
Tim Burton	Tim Burton
Katharine Hepburn	Katharine Hepburn
Stöðuheiti í hernaði	Grade militaire
Sameining Þýskalands	Réunification allemande
Stjórnsýslueining	Administration territoriale
Francis Ford Coppola	Francis Ford Coppola
Borðtölva	Ordinateur de bureau
Lise Meitner	Lise Meitner
24 (sjónvarpsþáttur)	24 heures chrono
Sindarin	Sindarin
Samísk tungumál	Langues sames
Haúsa	Haoussa
Leifturstríð	Blitzkrieg
Panare	E'ñepa
Wii fjarstýring	Télécommande Wii
Parasetamól	Paracétamol
Otto Hahn	Otto Hahn
Max von Laue	Max von Laue
Nelly Sachs	Nelly Sachs
Fritz Haber	Fritz Haber
Jürgen Klinsmann	Jürgen Klinsmann
Paul Ehrlich	Paul Ehrlich
Karl Weierstrass	Karl Weierstrass
Josef Mengele	Josef Mengele
Corsier-sur-Vevey	Corsier-sur-Vevey
Oswald Spengler	Oswald Spengler
Alfred Jodl	Alfred Jodl
Hans Adolf Krebs	Hans Adolf Krebs
Gerhard Domagk	Gerhard Domagk
Moritz Schlick	Moritz Schlick
Erich Hartmann	Erich Hartmann (aviateur)
Friðrik 5. kjörfursti	Frédéric V du Palatinat
Franz Brentano	Franz Brentano
Martin Waldseemüller	Martin Waldseemüller
Niklas Luhmann	Niklas Luhmann
Ferdinand Porsche	Ferdinand Porsche
Alexandrine af Mecklenburg-Schwerin	Alexandrine de Mecklembourg-Schwerin
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Haraldur 5. Noregskonungur	Harald V
Abdullah bin Abdul Aziz al-Saud	Abdallah ben Abdelaziz al-Saoud
Bamir Topi	Bamir Topi
Peter Weiss	Peter Weiss
Norodom Sihamoni	Norodom Sihamoni
Hermann Ebbinghaus	Hermann Ebbinghaus
Dimitris Christofias	Dimítris Khristófias
Bartólómeusarkirkjan í Frankfurt	Cathédrale Saint-Barthélemy de Francfort
Isaias Afewerki	Issayas Afewerki
Hadríanusarmúrinn	Mur d'Hadrien
Helmut Newton	Helmut Newton
Cavaco Silva	Aníbal Cavaco Silva
Armin Meiwes	Armin Meiwes
Choummaly Sayasone	Choummaly Sayasone
Daniel Kehlmann	Daniel Kehlmann
Jakaya Kikwete	Jakaya Kikwete
George Abela	George Abela
Múhameð VI af Marokkó	Mohammed VI
Þjóðhátíðardagur	Fête nationale
Janez Janša	Janez Janša
Jyrki Katainen	Jyrki Katainen
Jens Stoltenberg	Jens Stoltenberg
Vlad Filat	Vlad Filat
Jóhanna Sigurðardóttir	Jóhanna Sigurðardóttir
Hun Sen	Hun Sen
Játvarður 1.	Édouard Ier (roi d'Angleterre)
Virki	Fortification
Thongsing Thammavong	Thongsing Thammavong
Peter O'Neill	Peter O'Neill
Jóhannes Hevelíus	Johannes Hevelius
Kristófer af Bæjaralandi	Christophe de Bavière
Petró Pórósjenkó	Petro Porochenko
Össur Skarphéðinsson	Össur Skarphéðinsson
Fjórmenningarnir	Les Quatre Cavaliers de l'Apocalypse (Bible)
Dimmu Borgir	Dimmu Borgir
Hollandaise-sósa	Sauce hollandaise
Guido Westerwelle	Guido Westerwelle
Diskó	Disco
Amon	Amon
André Schürrle	André Schürrle
Windows 1.0	Windows 1.0
Duran Duran	Duran Duran
Búrbónar	Maison de Bourbon
The Shins	The Shins
Jitsi	Jitsi
Forræðishyggja	Paternalisme
Slackware	Slackware
Kúrilstraumurinn	Oya shivo
Loðvík 12.	Louis XII
Friedrich Wöhler	Friedrich Wöhler
Edmund Husserl	Edmund Husserl
Púndjabí	Pendjabi
Kál	Brassica
Pastú	Pachto
Arabíuhaf	Mer d'Arabie
Aeroflot	Aeroflot
Stóra stökkið fram á við	Grand Bond en avant
.si	.si
Mengun	Pollution
Lily Allen	Lily Allen
Kylie (breiðskífa)	Kylie (album)
Kerfi	Système
Hasselt	Hasselt
Alríkislögregla Rússneska Sambandsríkisins	Service fédéral de sécurité de la Fédération de Russie
Sólarsella	Cellule photovoltaïque
Síberíuflæðibasaltið	Trapps de Sibérie
Friðarsinni	Pacifisme
Bókmenntarýni	Critique littéraire
Melodifestivalen	Melodifestivalen
Billy Mays	Billy Mays
Filippus 1. Frakkakonungur	Philippe Ier (roi des Francs)
Courteney Cox	Courteney Cox
Gelding	Castration
Hiksti	Hoquet
Sanderla	Bécasseau sanderling
Rokkur	Rouet (outil)
Cydonia (Mars)	Cydonia Mensae
Skutskär	Skutskär
Östhammar	Östhammar
Jurtaæta	Herbivore
Narvik	Narvik
Pioneer 10	Pioneer 10
Meginlandsheimspeki	Philosophie continentale
Gylfi Þór Sigurðsson	Gylfi Sigurðsson
Vísindaheimspeki	Philosophie des sciences
Aappilattoq	Aappilattoq (Groenland-Méridional)
Díogenes Laertíos	Diogène Laërce
Námssálfræði	Psychologie de l'éducation
Narsarsuaq	Narsarsuaq
Díogenes hundingi	Diogène de Sinope
Varennes	Varennes-en-Argonne
Slöngustjarna	Ophiuroidea
Mervíkingar	Mérovingiens
Apaplánetan (1968 kvikmynd)	La Planète des singes (film, 1968)
Granar	Siluriformes
Flatfiskar	Pleuronectiformes
Elinóra af Kastilíu	Éléonore de Castille (1241-1290)
Bengúelastraumurinn	Courant de Benguela
Nýja-Bretland	Nouvelle-Bretagne
Wicca	Wicca
Garden State (kvikmynd)	Garden State
Boule et Bill	Boule et Bill
Orkla	Orkla
Hannah Arendt	Hannah Arendt
Gottlob Frege	Gottlob Frege
Heidi Klum	Heidi Klum
Reinhard Heydrich	Reinhard Heydrich
Max Müller	Friedrich Max Müller
Hinrik 4. keisari	Henri IV du Saint-Empire
Otto von Guericke	Otto von Guericke
Konrad Gesner	Conrad Gessner
.sn	.sn
1151-1160	Années 1150
Indlandsskagi	Sous-continent indien
Danski fáninn	Drapeau du Danemark
Heróín	Héroïne
Loftsteinn	Météorite
Táknfræði	Sémiotique
1031-1040	Années 1030
Ariel Sharon	Ariel Sharon
1051-1060	Années 1050
Eneasarkviða	Énéide
Koffín	Caféine
Fiskifræði	Ichtyologie
Sólmyrkvinn 20. mars 2015	Éclipse solaire du 20 mars 2015
Joshua Malina	Joshua Malina
Ursula von der Leyen	Ursula von der Leyen
Siegfried & Roy	Siegfried & Roy
Norræna myntbandalagið	Union monétaire scandinave
Brian Greene	Brian Greene
Stefán Englandskonungur	Étienne de Blois
Víxlunarröðun	Tri à bulles
Jeremy Bentham	Jeremy Bentham
Rófa	Queue (anatomie)
Sakis Rouvas	Sákis Rouvás
Dulnefni	Pseudonyme
Vatnaíþróttir	Sports nautiques
Walter Gropius	Walter Gropius
Walter Benjamin	Walter Benjamin
Bertha Pappenheim	Bertha Pappenheim
Campeche-flói	Baie de Campêche
IPhone 5	IPhone 5
Útvistun	Externalisation
Barnadauði	Mortalité juvénile
Eduard Zeller	Eduard Zeller
Ulrich von Wilamowitz-Moellendorff	Ulrich von Wilamowitz-Moellendorff
Carl von Linde	Carl von Linde
Bernd Schneider	Bernd Schneider (pilote automobile)
Gottfried Heinrich greifi af Pappenheim	Gottfried Heinrich von Pappenheim
Dóróthea af Brandenborg	Dorothée de Brandebourg-Kulmbach
Agnes af Meraníu	Agnès de Méranie
Johann Friedrich Struensee	Johann Friedrich Struensee
Vlastimil Hort	Vlastimil Hort
Bernd Eichinger	Bernd Eichinger
Werner Jaeger	Werner Jaeger
Flugher	Composante aérienne militaire
Carl Gustav Hempel	Carl Gustav Hempel
Fritz Haarmann	Fritz Haarmann
Walter Burkert	Walter Burkert
Hermann Alexander Diels	Hermann Diels
Weil am Rhein	Weil-am-Rhein
Ordóvisíumtímabilið	Ordovicien
Lappland	Laponie
Edna St. Vincent Millay	Edna St. Vincent Millay
Harstad	Harstad
Aðskeyti	Affixe
Jarviseyja	Île Jarvis
Pólýkarbónat	Polycarbonate
Álasund	Ålesund
Sendlingur	Bécasseau violet
Lundúnaturn	Tour de Londres
Þjóðveldið	État libre islandais
Westminsterhöll	Palais de Westminster
Sílúrtímabilið	Silurien
Wilhelm Röpke	Wilhelm Röpke
Skauthnitakerfi	Coordonnées polaires
Jónatengi	Liaison ionique
Eðlisfræðivél	Moteur physique
Barbara Meier	Barbara Meier
Jónahlið	Canal ionique
BeOS	BeOS
Konungsríkið Ísland	Royaume d'Islande
Sænsk-norska sambandið	Suède-Norvège
Kalmarsambandið	Union de Kalmar
Stórfurstadæmið Finnland	Grand-duché de Finlande
Dansk-norska ríkið	Royaume du Danemark et de Norvège
Jay-Z	Jay-Z
Fræva	Pistil
Koszalin	Koszalin
Ulric Neisser	Ulric Neisser
Kartesíusarhnitakerfið	Coordonnées cartésiennes
Stafræn ljósmyndun	Appareil photographique numérique
Burj Al Arab	Burj-al-Arab
Johannes Heinrich Schultz	Johannes Heinrich Schultz
Adda	Adda
Töluorð	Adjectif numéral
Airbnb	Airbnb
Unity (leikjaumhverfi)	Unity (moteur de jeu)
Rafsegulhögg	Impulsion électromagnétique
Dvergtré	Bonsaï
Gallblaðra	Vésicule biliaire
Rafgreining	Électrolyse
Stórskotalið	Artillerie
Sigurboginn	Arc de triomphe de l'Étoile
Marx-bræður	Marx Brothers
Hasselblad	Hasselblad
Gegnvirk vensl	Relation transitive
Flóasnípa	Bécassine de Wilson
Friedrich August Wolf	Friedrich August Wolf
Anthony Hopkins	Anthony Hopkins
Setning (stærðfræði)	Théorème
Devontímabilið	Dévonien
Habsborgarar	Habsbourg
Gall	Bile
Kalífi	Calife
Menntagyðjur	Muses
Deutsche Bank	Deutsche Bank
Almennt brot	Fraction (mathématiques)
Sahel	Sahel
Niccolò Paganini	Niccolò Paganini
Öldungadeild Bandaríkjaþings	Sénat des États-Unis
Gengi	Taux de change
Henry Kissinger	Henry Kissinger
Thomas Hoeren	Thomas Hoeren
Felix Jacoby	Felix Jacoby
Vinnsluminni	Mémoire (informatique)
Afleiða (fjármál)	Produit dérivé financier
Seðlabanki	Banque centrale
Kanpur	Kanpur
Daman og Diu	Daman et Diu
Puducherry	Territoire de Pondichéry
Davos	Davos
Frauenfeld	Frauenfeld
La Chaux-de-Fonds	La Chaux-de-Fonds
Olten	Olten
Sion	Sion (Valais)
Zug	Zoug (ville)
Altdorf (Uri)	Altdorf (Uri)
Altstätten	Altstätten
Checkpoint Charlie	Checkpoint Charlie
Margrit Kennedy	Margrit Kennedy
Chur	Coire
Gland (Sviss)	Gland (Vaud)
Nathaniel Hawthorne	Nathaniel Hawthorne
Neuchâtel	Neuchâtel
Montreux	Montreux
Morges	Morges
MDMA	MDMA
Stjórnspekin	Politique (Aristote)
Barrskógabelti	Taïga
Síberíutígur	Tigre de Sibérie
Vichy-stjórnin	Régime de Vichy
Borgarskipulagning	Urbanisme
Óregluleg sögn	Verbe irrégulier
Alois Alzheimer	Alois Alzheimer
Theo Jörgensmann	Theo Jörgensmann
Margrét af Búrgund	Marguerite de Bourgogne (1290-1315)
Beiskjuefni	Alcaloïde
Hildegard von Bingen	Hildegarde de Bingen
Bette Davis	Bette Davis
Clark Gable	Clark Gable
Windows Live Messenger	Windows Live Messenger
Drómedari	Dromadaire
Tetris	Tetris
Wii Sports	Wii Sports
Rage Against the Machine	Rage Against the Machine
Amundsenhaf	Mer d'Amundsen
Portsmouth	Portsmouth
Ljósbrot	Réfraction
Fridtjof Nansen	Fridtjof Nansen
1371-1380	Années 1370
Toni Morrison	Toni Morrison
Skrifræði	Bureaucratie
Pungrækjur	Cumacea
Schwarzschild-geisli	Rayon de Schwarzschild
Craig Ferguson	Craig Ferguson
She's the Man	She's the Man
Cheech Marin	Cheech Marin
George Lopez	George Lopez
Austurför Kýrosar	Anabase (Xénophon)
Skandinavíuskaginn	Péninsule Scandinave
Thibaut Courtois	Thibaut Courtois
Jimmy Smits	Jimmy Smits
Willian	Willian (football)
Roddy Doyle	Roddy Doyle
Arkesilás	Arcésilas de Pitane
Fjarlæg framtíð	Futurama
Ólympíumót fatlaðra	Jeux paralympiques
Thorstein Veblen	Thorstein Veblen
Pappírsskutla	Avion de papier
Hobbitinn	Le Hobbit
Ząbrowo (Stare Pole)	Ząbrowo (Stare Pole)
Sæðisfruma	Spermatozoïde
Silfurfiskaætt	Sternoptychidae
Jackie Mason	Jackie Mason
Öskjuvatn	Öskjuvatn
Pax Romana	Pax Romana
Delfí	Delphes
Fornlífsöld	Paléozoïque
282 f.Kr.	282 av. J.-C.
279 f.Kr.	279 av. J.-C.
404 f.Kr.	404 av. J.-C.
Miguel Angel Asturias	Miguel Ángel Asturias
Isaac Bashevis Singer	Isaac Bashevis Singer
Pierre de Fermat	Pierre de Fermat
406 f.Kr.	406 av. J.-C.
Macintosh	Macintosh
Evangelísk-lúthersk kirkja	Luthéranisme
Norbert Elias	Norbert Elias
Wilhelm Wundt	Wilhelm Wundt
Clara Zetkin	Clara Zetkin
Rudolf Hess	Rudolf Hess
Persastríð	Guerres médiques
Fríríkið Kongó	État indépendant du Congo
Hægristefna	Droite (politique)
Glysrokk	Glam rock
Blái Lótusinn	Le Lotus bleu
Rauðvik	Décalage vers le rouge
Paleósentímabilið	Paléocène
Plíósen	Pliocène
Míósen	Miocène
Eósentímabilið	Éocène
Grunnungur	Tanche
Stjörnubreidd	Déclinaison (astronomie)
Alfred Wegener	Alfred Wegener
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Mileva Marić	Mileva Einstein
Hans-Georg Gadamer	Hans-Georg Gadamer
Jürgen Habermas	Jürgen Habermas
Wilhelm Keitel	Wilhelm Keitel
Hans Zimmer	Hans Zimmer
Johann Müller	Regiomontanus
Permtímabilið	Permien
Leopold Kronecker	Leopold Kronecker
Georg Cantor	Georg Cantor
Ludwig Andreas Feuerbach	Ludwig Feuerbach
Emil von Behring	Emil Adolf von Behring
Carl Philipp Emanuel Bach	Carl Philipp Emanuel Bach
